場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,血統登録番号,日付S,所属,種牡馬名,母名,現馬主名,生産者名,関連データ,馬番/仮番(出馬表モード時のみ)
栗東,C,左,20260705,日,4:58,アームズラムレイ,,牝,2,未出走,上村洋行,,145.4,124.8,105.1,87.4,70.9,55.2,39.2,24.8,12.2,20.6,19.7,17.7,16.5,15.7,16.0,14.4,12.6,12.2,2024105630,2026.7.5,栗東,ビッグアーサー,アームズトウショウ,杉山忠国,明治牧場,,
栗東,C,左,20260705,日,4:58,ブレイクアウェイ,,牡,2,未出走,上村洋行,,143.5,123.8,104.8,87.3,70.8,55.1,39.1,24.8,12.3,19.7,19.0,17.5,16.5,15.7,16.0,14.3,12.5,12.3,2024105872,2026.7.5,栗東,キズナ,ザウェイアイアム,ライオンレースホース,社台ファーム,,
栗東,C,左,20260705,日,4:58,ベラジオパンテーラ,,牡,2,未出走,上村洋行,,142.7,122.9,104.1,86.8,70.1,54.8,38.9,24.6,12.2,19.8,18.8,17.3,16.7,15.3,15.9,14.3,12.4,12.2,2024107026,2026.7.5,栗東,キズナ,ダイワダッチェス,ベラジオレーシング,社台コーポレーション白老ファーム,,
栗東,C,左,20260705,日,4:59,ウォーブレイク,,牡,3,未出走,辻野泰之,,,,,,74.1,57.4,41.4,26.7,13.4,,,,,16.7,16.0,14.7,13.3,13.4,2023106642,2026.7.5,栗東,デクラレーションオブウォー,グレイスフルダンス,杉山忠国,明治牧場,,
栗東,C,左,20260705,日,4:59,サンデーファンデー,,牡,6,9550,東田明士,,144.9,125.5,106.3,88.5,72.0,56.2,40.6,25.6,12.5,19.4,19.2,17.8,16.5,15.8,15.6,15.0,13.1,12.5,2020104136,2026.7.5,栗東,スズカコーズウェイ,ファーストレディ,吉澤ホールディングス,グランド牧場,,
栗東,C,左,20260705,日,4:59,タイセイドレフォン,,牡,7,3500,西村真幸,,151.4,130.5,111.0,93.2,76.4,59.8,43.8,28.5,14.2,20.9,19.5,17.8,16.8,16.6,16.0,15.3,14.3,14.2,2019105308,2026.7.5,栗東,ドレフォン,デイトユアドリーム,田中成奉,ノーザンファーム,,
栗東,C,左,20260705,日,5:02,カフジミモレット,,牝,3,0,森田直行,,,,,,108.5,82.8,61.1,40.0,19.5,,,,,25.7,21.7,21.1,20.5,19.5,2023103890,2026.7.5,栗東,ドレフォン,サルスエラ,加藤千豊,レイクヴィラファーム,,
栗東,C,左,20260705,日,5:02,キョウエイクローム,,牝,3,0,森田直行,,,,,,110.7,85.6,63.2,42.3,21.2,,,,,25.1,22.4,20.9,21.1,21.2,2023102343,2026.7.5,栗東,カリフォルニアクローム,ローズアダージョ,田中晴夫,上野正恵,,
栗東,C,左,20260705,日,5:02,サマーブリザード,,牡,3,0,吉田直弘,,,,,,102.3,78.2,56.9,37.2,18.2,,,,,24.1,21.3,19.7,19.0,18.2,2023104692,2026.7.5,栗東,ゴールドドリーム,ジュエリーストーム,岡田牧雄,メイタイファーム,,
栗東,C,左,20260705,日,5:02,サーバルマインド,,牡,3,0,森田直行,,,,,,136.9,108.8,82.2,54.9,29.0,,,,,28.1,26.6,27.3,25.9,29.0,2023101685,2026.7.5,栗東,マインドユアビスケッツ,ウマコ,河原義宏,桑田フアーム,,
栗東,C,左,20260705,日,5:02,ダイメイプリンス,,牡,3,0,森田直行,,,,,,110.6,85.7,63.4,42.3,21.1,,,,,24.9,22.3,21.1,21.2,21.1,2023101606,2026.7.5,栗東,シルバーステート,ダイメイプリンセス,宮本孝一,横井哲,,
栗東,C,左,20260705,日,5:02,フェンダー,,牡,5,900,柴田卓,,,,,,206.2,162.8,120.0,81.0,40.6,,,,,43.4,42.8,39.0,40.4,40.6,2021105753,2026.7.5,栗東,モーリス,プリンセスロック,シルクレーシング,ノーザンファーム,,
栗東,C,左,20260705,日,5:02,レジェルテ,,牡,3,0,柴田卓,,,,,,192.7,152.5,113.1,73.9,35.9,,,,,40.2,39.4,39.2,38.0,35.9,2023107303,2026.7.5,栗東,シュヴァルグラン,ラリズ,ライオンレースホース,ノーザンファーム,,
栗東,C,左,20260705,日,5:03,オヤツノジカン,,牝,3,400,高橋義忠,,,,,,80.5,59.2,41.3,25.5,11.9,,,,,21.3,17.9,15.8,13.6,11.9,2023107477,2026.7.5,栗東,ニューイヤーズデイ,スウィートチェリー,小田切光,目名太山口牧場,,
栗東,C,左,20260705,日,5:07,トラストエムシー,,牡,6,400,北出成人,,152.7,130.2,109.3,90.7,73.2,57.0,41.7,27.0,13.3,22.5,20.9,18.6,17.5,16.2,15.3,14.7,13.7,13.3,2020103502,2026.7.5,栗東,ブラックタイド,トゥーピー,コスモ・コスモ,ノーザンファーム,,
栗東,C,左,20260705,日,5:07,ベルヴェール,,牡,2,未出走,石坂公一,,150.1,129.8,110.2,91.9,75.2,58.6,42.3,27.4,13.6,20.3,19.6,18.3,16.7,16.6,16.3,14.9,13.8,13.6,2024106458,2026.7.5,栗東,モーリス,チャームドヴェール,シルクレーシング,ノーザンファーム,,
栗東,C,左,20260705,日,5:07,ラヴエナストロ,,牝,3,0,石坂公一,,,,,,73.1,56.2,41.1,26.8,13.9,,,,,16.9,15.1,14.3,12.9,13.9,2023103911,2026.7.5,栗東,シスキン,リリアンフェルス,村尾賢二,レイクヴィラファーム,,
栗東,C,左,20260705,日,5:07,ヴァンドゥーヴル,,牡,3,0,石坂公一,,152.1,130.9,111.1,92.7,75.9,59.1,42.7,27.3,13.5,21.2,19.8,18.4,16.8,16.8,16.4,15.4,13.8,13.5,2023105232,2026.7.5,栗東,オルフェーヴル,オメガドーヴィル,犬塚悠治郎,社台ファーム,,
栗東,C,左,20260705,日,5:07,ヴェロクオーレ,,牝,5,1180,石坂公一,,153.8,132.1,112.1,93.9,77.1,60.2,43.9,28.2,14.1,21.7,20.0,18.2,16.8,16.9,16.3,15.7,14.1,14.1,2021101397,2026.7.5,栗東,ドゥラメンテ,サトノジョリー,村野康司,下河辺牧場,,
栗東,C,左,20260705,日,5:07,ヴェントゥーラ,,牝,4,900,小栗実,,,,,,74.0,52.3,35.7,22.1,10.8,,,,,21.7,16.6,13.6,11.3,10.8,2022104186,2026.7.5,栗東,サートゥルナーリア,リボンフラワー,飯田貴大,千代田牧場,,
栗東,C,左,20260705,日,5:08,メイショウタカネ,,牝,3,0,岡田稲男,,,,,,72.2,54.4,39.5,25.4,12.6,,,,,17.8,14.9,14.1,12.8,12.6,2023105028,2026.7.5,栗東,レイデオロ,メイショウオウヒ,松本好隆,三嶋牧場,,
栗東,C,左,20260705,日,5:08,リアルペガサス,,牡,5,450,大橋勇樹,,,,,,93.7,72.9,53.6,35.4,17.3,,,,,20.8,19.3,18.2,18.1,17.3,2021103316,2026.7.5,栗東,ダンカーク,ボストンビリーヴ,水谷光太郎,宮内牧場,,
栗東,C,左,20260705,日,5:09,ダンツウルス,,牡,3,0,谷潔,,143.1,126.3,109.7,93.7,78.6,62.1,45.3,29.1,14.7,16.8,16.6,16.0,15.1,16.5,16.8,16.2,14.4,14.7,2023102901,2026.7.5,栗東,リアルスティール,コゴメユキ,山元哲二,千代田牧場,,
栗東,C,左,20260705,日,5:09,ベイニーニャ,,牝,3,0,茶木太樹,,146.2,125.5,106.9,89.4,73.0,57.2,41.4,26.7,13.6,20.7,18.6,17.5,16.4,15.8,15.8,14.7,13.1,13.6,2023105819,2026.7.5,栗東,アドマイヤマーズ,ベイコート,中村祐子,ケイアイファーム,,
栗東,C,左,20260705,日,5:09,ラッキーヴォーグ,,牡,3,0,牧田和弥,,,,,,107.7,80.8,59.4,39.4,20.1,,,,,26.9,21.4,20.0,19.3,20.1,2023105657,2026.7.5,栗東,タリスマニック,サンタレジーナ,ロイヤルパーク,柏木一則,,
栗東,C,左,20260705,日,5:10,サンライズハリー,,牡,3,0,平田修,,151.2,131.4,112.4,96.4,80.3,62.6,44.9,28.1,13.3,19.8,19.0,16.0,16.1,17.7,17.7,16.8,14.8,13.3,2023100568,2026.7.5,栗東,サンライズソア,ハニーメロンチャン,松岡隆雄,雅牧場,,
栗東,C,左,20260705,日,5:10,バーケンティン,,牡,5,400,平田修,,148.0,129.0,111.0,94.3,78.2,61.7,44.0,28.1,14.3,19.0,18.0,16.7,16.1,16.5,17.7,15.9,13.8,14.3,2021105868,2026.7.5,栗東,ロードカナロア,リーチング,サンデーレーシング,ノーザンファーム,,
栗東,C,左,20260705,日,5:10,フリッシュ,,牡,3,400,平田修,,131.7,114.2,97.6,81.9,67.3,52.7,38.0,23.8,12.0,17.5,16.6,15.7,14.6,14.6,14.7,14.2,11.8,12.0,2023101231,2026.7.5,栗東,パイロ,ナリッシュ,ターフ・スポート,ナカノファーム,,
栗東,C,左,20260705,日,5:10,ユイリノベーション,,牡,2,0,平田修,,152.9,134.8,117.0,100.6,84.3,67.0,49.4,32.7,16.7,18.1,17.8,16.4,16.3,17.3,17.6,16.7,16.0,16.7,2024100751,2026.7.5,栗東,デクラレーションオブウォー,ブライトメジャー,森本研太,チャンピオンズファーム,,
栗東,C,左,20260705,日,5:10,ルクスグレイス,,牝,2,未出走,平田修,,142.4,124.9,107.4,91.4,75.8,59.4,43.0,27.2,13.9,17.5,17.5,16.0,15.6,16.4,16.4,15.8,13.3,13.9,2024106324,2026.7.5,栗東,サトノダイヤモンド,サトノアリシア,ルクス,ノーザンファーム,,
栗東,C,左,20260705,日,5:11,ショウナンライラ,,牡,3,0,松下武士,,,,,,90.6,67.1,47.3,30.6,14.6,,,,,23.5,19.8,16.7,16.0,14.6,2023100277,2026.7.5,栗東,サートゥルナーリア,ブルーイリュージョン,湘南,ヒサイファーム,,
栗東,C,左,20260705,日,5:11,ユーヴェリア,,牝,5,860,笹田和秀,,,,,,71.9,54.8,40.0,25.4,12.4,,,,,17.1,14.8,14.6,13.0,12.4,2021107278,2026.7.5,栗東,オルフェーヴル,ミラクルベリー,京都ホースレーシング,浜本牧場,,
栗東,C,左,20260705,日,5:11,レディネス,,牡,4,2500,昆貢,,,,,,87.8,68.6,50.0,32.5,16.0,,,,,19.2,18.6,17.5,16.5,16.0,2022104416,2026.7.5,栗東,スワーヴリチャード,リトルシャンブルズ,安原浩司,フジワラフアーム,,
栗東,C,左,20260705,日,5:12,ドルチェリターン,,牡,4,0,前川恭子,,146.1,125.3,104.6,85.7,68.8,53.3,37.2,23.3,11.4,20.8,20.7,18.9,16.9,15.5,16.1,13.9,11.9,11.4,2022104598,2026.7.5,栗東,ハービンジャー,アソルータ,スリーエイチレーシング,ノーザンファーム,,
栗東,C,左,20260705,日,5:12,ホットロッドハート,,牡,2,未出走,前川恭子,,148.3,127.6,107.1,87.9,71.5,55.2,38.9,24.4,11.8,20.7,20.5,19.2,16.4,16.3,16.3,14.5,12.6,11.8,2024105800,2026.7.5,栗東,ホットロッドチャーリー,オメガハートソング,吉田照哉,社台ファーム,,
栗東,C,左,20260705,日,5:13,ドットカモン,,牡,3,0,笹田和秀,,147.9,129.3,110.4,91.4,74.0,57.7,41.5,26.6,13.0,18.6,18.9,19.0,17.4,16.3,16.2,14.9,13.6,13.0,2023104773,2026.7.5,栗東,ノーブルミッション,サンデーアゲイン,幅田京子,ラツキー牧場,,
栗東,C,左,20260705,日,5:13,フチサンチャチャ,,牡,3,0,笹田和秀,,148.7,126.5,104.3,86.0,69.6,54.2,39.6,25.9,13.1,22.2,22.2,18.3,16.4,15.4,14.6,13.7,12.8,13.1,2023103017,2026.7.5,栗東,フィレンツェファイア,ウォルプタス,中西功,西村牧場,,
栗東,C,左,20260705,日,5:15,テスティモーネ,,牡,4,3600,大根田裕,,139.9,123.6,106.5,89.8,73.8,57.0,40.1,25.4,12.8,16.3,17.1,16.7,16.0,16.8,16.9,14.7,12.6,12.8,2022103686,2026.7.5,栗東,ドレフォン,ワイズアンサー,宮川純造,カタオカフアーム,,
栗東,C,左,20260705,日,5:15,ヴィヴァシャス,,牝,4,400,笹田和秀,,154.4,132.3,110.3,90.8,73.4,56.9,40.8,25.9,12.9,22.1,22.0,19.5,17.4,16.5,16.1,14.9,13.0,12.9,2022104391,2026.7.5,栗東,モズアスコット,ジニアスミノル,フジワラ・ファーム,フジワラフアーム,,
栗東,C,左,20260705,日,5:16,サンライズフレイム,,牡,6,7500,石坂公一,,249.3,184.1,129.1,83.2,67.0,52.7,38.4,24.8,12.6,65.2,55.0,45.9,16.2,14.3,14.3,13.6,12.2,12.6,2020101599,2026.7.5,栗東,ドレフォン,マストバイアイテム,ライフハウス,下河辺牧場,,
栗東,C,左,20260705,日,5:17,ウインポセイドン,,牡,4,400,奥村豊,,,,,,78.0,58.8,42.3,27.1,13.3,,,,,19.2,16.5,15.2,13.8,13.3,2022101102,2026.7.5,栗東,ゴールドシップ,サマーラグーン,ウイン,荒井ファーム,,
