場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,血統登録番号,日付S,所属,種牡馬名,母名,現馬主名,生産者名,関連データ,馬番/仮番(出馬表モード時のみ)
栗東,C,右,20260829,土,3:58,アヴァロン,,牡,2,未出走,清水久詞,,144.9,124.8,104.5,86.1,70.3,54.2,38.3,23.3,11.5,20.1,20.3,18.4,15.8,16.1,15.9,15.0,11.8,11.5,2024101893,2026.8.29,栗東,キタサンブラック,ルガーサント,ターフ・スポート,谷川牧場,,
栗東,C,右,20260829,土,3:58,バイファーザベスト,,牡,7,730,清水久詞,,145.5,125.2,105.0,86.5,70.6,54.6,38.6,23.5,11.5,20.3,20.2,18.5,15.9,16.0,16.0,15.1,12.0,11.5,2019109106,2026.8.29,栗東,キタサンブラック,キープレイヤー,白日光,下河辺トレーニングセンター,,
栗東,C,右,20260829,土,4:25,テーオーアルアイン,,牡,3,900,奥村豊,,,,,90.6,70.2,52.9,36.8,22.6,11.3,,,,20.4,17.3,16.1,14.2,11.3,11.3,2023105241,2026.8.29,栗東,アルアイン,シードラゴン,小笹公也,社台ファーム,,
栗東,C,右,20260829,土,4:25,デリュージョン,,牡,4,400,奥村豊,,,,,91.2,70.7,53.4,37.1,22.8,11.4,,,,20.5,17.3,16.3,14.3,11.4,11.4,2022107106,2026.8.29,栗東,レッドベルジュール,パンツァネッラ,山本英俊,メイタイファーム,,
栗東,C,右,20260829,土,4:25,リジル,,牝,5,2400,奥村豊,,,,,90.1,69.7,52.5,36.5,22.6,11.2,,,,20.4,17.2,16.0,13.9,11.4,11.2,2021101457,2026.8.29,栗東,ダノンレジェンド,ロイヤルスピリッツ,下河辺隆行,下河辺牧場,,
栗東,C,右,20260829,土,4:30,エンネ,,牝,3,1450,吉岡辰弥,,163.2,132.0,107.6,85.7,69.0,54.3,38.1,23.5,11.6,31.2,24.4,21.9,16.7,14.7,16.2,14.6,11.9,11.6,2023102102,2026.8.29,栗東,キズナ,ルパン2,谷川牧場,谷川牧場,,
栗東,C,右,20260829,土,4:30,ジーティーサクラ,,牝,2,400,吉岡辰弥,,161.2,130.6,106.2,84.7,68.1,53.8,37.9,23.5,11.6,30.6,24.4,21.5,16.6,14.3,15.9,14.4,11.9,11.6,2024106614,2026.8.29,栗東,キタサンブラック,マニーズオンシャーロット,田畑利彦,ノーザンファーム,,
栗東,C,右,20260829,土,4:30,ノーブルロジャー,,牡,5,4450,吉岡辰弥,,164.5,134.3,108.7,86.8,70.2,55.1,38.2,23.4,11.6,30.2,25.6,21.9,16.6,15.1,16.9,14.8,11.8,11.6,2021110148,2026.8.29,栗東,"Palace Malice","Noble Ready",ノルマンディーサラブレッドレーシング,"Candy Meadows LLC",,
栗東,C,右,20260829,土,4:45,ジューンベロシティ,,牡,8,900,武英智,,144.2,122.9,103.4,86.3,70.2,54.1,38.3,24.2,12.3,21.3,19.5,17.1,16.1,16.1,15.8,14.1,11.9,12.3,2018103308,2026.8.29,栗東,ロードカナロア,アドマイヤサブリナ,吉川潤,ヒダカフアーム,,
栗東,C,右,20260829,土,5:59,アリアニコ,,牝,2,未出走,吉岡辰弥,,138.7,116.5,98.4,82.3,67.5,52.7,37.6,23.7,11.9,22.2,18.1,16.1,14.8,14.8,15.1,13.9,11.8,11.9,2024106506,2026.8.29,栗東,アルアイン,バルバレスコ,シルクレーシング,ノーザンファーム,,
栗東,C,右,20260829,土,5:59,シートゥサミット,,牡,3,400,吉岡辰弥,,140.0,118.2,99.8,83.2,67.8,52.9,37.7,23.5,11.7,21.8,18.4,16.6,15.4,14.9,15.2,14.2,11.8,11.7,2023101200,2026.8.29,栗東,モーリス,フラワーバレイ,小林英一ホールディングス,出口牧場,,
栗東,C,右,20260829,土,5:59,ルースソラール,,牡,2,0,吉岡辰弥,,137.1,115.0,97.4,81.6,66.7,51.8,37.0,23.2,11.6,22.1,17.6,15.8,14.9,14.9,14.8,13.8,11.6,11.6,2024107063,2026.8.29,栗東,Karakontie,ライトオブマイアイズ,社台レースホース,社台コーポレーション白老ファーム,,
栗東,C,右,20260829,土,6:55,キタノサワヤカ,,牡,4,400,吉田直弘,,143.5,123.4,103.4,84.5,68.3,52.9,37.9,23.6,11.8,20.1,20.0,18.9,16.2,15.4,15.0,14.3,11.8,11.8,2022102501,2026.8.29,栗東,イスラボニータ,サワヤカブラン,北所直人,猿倉牧場,,
栗東,C,右,20260829,土,6:55,ゼットレジーナ,,牝,5,900,吉田直弘,,133.8,115.9,98.5,82.3,67.6,53.0,38.0,23.7,11.5,17.9,17.4,16.2,14.7,14.6,15.0,14.3,12.2,11.5,2021105919,2026.8.29,栗東,ニューイヤーズデイ,ハービンマオ,フォーレスト,登別上水牧場,,
栗東,C,右,20260829,土,6:55,マイネルグリモア,,牡,2,未出走,吉田直弘,,143.3,123.1,103.2,84.2,68.1,52.9,37.9,23.6,11.8,20.2,19.9,19.0,16.1,15.2,15.0,14.3,11.8,11.8,2024103609,2026.8.29,栗東,ゴールドシップ,トゥールドマジ,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,,
栗東,C,右,20260829,土,7:31,アリストクラシア,,牝,5,400,吉岡辰弥,,152.7,127.8,104.8,85.2,68.4,53.2,37.6,23.2,11.6,24.9,23.0,19.6,16.8,15.2,15.6,14.4,11.6,11.6,2021105238,2026.8.29,栗東,ハーツクライ,マジェスティッククオリティ,社台レースホース,社台ファーム,,
栗東,C,右,20260829,土,7:31,ニューイントリーグ,,牡,2,未出走,吉岡辰弥,,150.0,126.5,102.9,83.6,66.6,51.4,36.8,23.2,11.7,23.5,23.6,19.3,17.0,15.2,14.6,13.6,11.5,11.7,2024108253,2026.8.29,栗東,"New Bay","Borgia's Best",H.H.シェイク・ハムダン,"Powerstown Stud Ltd",,
栗東,C,右,20260829,土,7:31,ロードメガロポリス,,牡,2,未出走,吉岡辰弥,,152.1,127.7,104.3,85.2,68.4,53.2,38.1,23.9,12.3,24.4,23.4,19.1,16.8,15.2,15.1,14.2,11.6,12.3,2024105312,2026.8.29,栗東,ダノンスマッシュ,メガキャット,ロードホースクラブ,ケイアイファーム,,
美浦,D,右,20260829,土,5:01,レヴィテーション,,牝,5,900,中川公成,,,,,88.1,71.5,55.8,40.3,25.9,12.6,,,,16.6,15.7,15.5,14.4,13.3,12.6,2021107259,2026.8.29,美浦,シニスターミニスター,アンティグラビティ,京都ホースレーシング,浜本牧場,,
美浦,D,右,20260829,土,5:04,スターチスブーケ,,牝,5,400,田中勝春,,,,,,,56.9,39.8,25.0,12.0,,,,,,17.1,14.8,13.0,12.0,2021110075,2026.8.29,美浦,"Practical Joke","Sovereign Halo",ノルマンディーサラブレッドレーシング,"Gerty Bloodstock",,
美浦,D,右,20260829,土,5:05,スリーピース,,セ,4,2400,武井亮,,,,,90.8,71.5,55.2,39.3,24.5,11.6,,,,19.3,16.3,15.9,14.8,12.9,11.6,2022104972,2026.8.29,美浦,ミッキーアイル,ビバリーヒルズ,スリーレーシング,ノーザンファーム,,
美浦,D,右,20260829,土,5:05,ソラニワラエバ,,牡,2,0,武井亮,,,,,89.9,70.9,54.7,38.9,24.3,11.5,,,,19.0,16.2,15.8,14.6,12.8,11.5,2024101481,2026.8.29,美浦,オルフェーヴル,ニンフ2,石瀬浩三,漆木康一,,
美浦,D,右,20260829,土,5:17,イイクニパッション,,牡,3,0,深山雅史,,,,,112.5,76.7,55.0,38.6,24.3,11.7,,,,35.8,21.7,16.4,14.3,12.6,11.7,2023100102,2026.8.29,美浦,ビッグアーサー,シゲルアンドロメダ,武中進,グローリーファーム,,
美浦,D,右,20260829,土,6:24,ジェイエルグリーン,,牝,3,0,平岩大典,,,,,87.6,68.8,53.3,38.5,24.7,12.1,,,,18.8,15.5,14.8,13.8,12.6,12.1,2023106314,2026.8.29,美浦,アニマルキングダム,ジェイエルマリーン,橋元幸人,ナカノファーム,,
