場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,血統登録番号,日付S,所属,種牡馬名,母名,現馬主名,生産者名,関連データ,馬番/仮番(出馬表モード時のみ)
栗東,C,右,20260708,水,4:58,アステルディーヴァ,,牝,3,0,西村真幸,,139.2,119.5,101.0,83.3,67.1,51.7,36.6,22.9,11.5,19.7,18.5,17.7,16.2,15.4,15.1,13.7,11.4,11.5,2023104883,2026.7.8,栗東,リオンディーズ,ジュリエットソング,小島正宏,酒井牧場,,
栗東,C,右,20260708,水,4:58,グランスプリント,,牡,3,0,西村真幸,,140.6,120.6,101.8,83.9,67.7,52.2,36.9,23.2,11.7,20.0,18.8,17.9,16.2,15.5,15.3,13.7,11.5,11.7,2023104906,2026.7.8,栗東,ファインニードル,ドラゴンホマレ,辻牧場,谷口牧場,,
栗東,C,右,20260708,水,4:58,ゴッドブルービー,,牡,6,2400,角田晃一,,,,,,,51.4,36.7,22.9,11.2,,,,,,14.7,13.8,11.7,11.2,2020106063,2026.7.8,栗東,パイロ,ゴッドビラブドミー,中西憲治,芳住鉄兵,,
栗東,C,右,20260708,水,4:58,サフィラ,,牝,5,4350,池添学,,139.2,118.1,97.4,79.7,65.0,51.1,36.6,22.9,11.4,21.1,20.7,17.7,14.7,13.9,14.5,13.7,11.5,11.4,2021105541,2026.7.8,栗東,ハーツクライ,サロミナ,シルクレーシング,ノーザンファーム,,
栗東,C,右,20260708,水,4:58,シュプレヒコール,,牡,2,未出走,清水久詞,,140.7,119.8,99.9,81.8,66.8,51.4,36.8,23.0,11.5,20.9,19.9,18.1,15.0,15.4,14.6,13.8,11.5,11.5,2024105437,2026.7.8,栗東,ジャンダルム,フィオリキアリ,槙和美,土居牧場,,
栗東,C,右,20260708,水,4:58,ジーティーアダマン,,牡,4,2500,上村洋行,,143.0,122.2,101.1,82.6,67.3,52.6,37.2,22.7,11.2,20.8,21.1,18.5,15.3,14.7,15.4,14.5,11.5,11.2,2022101193,2026.7.8,栗東,ルーラーシップ,カウニスクッカ,田畑利彦,オリオンファーム,,
栗東,C,右,20260708,水,4:58,ベランジェール,,牝,5,400,西村真幸,,138.3,118.9,100.2,82.9,66.8,51.5,36.5,22.9,11.4,19.4,18.7,17.3,16.1,15.3,15.0,13.6,11.5,11.4,2021105484,2026.7.8,栗東,モーリス,キャリコ,DMMドリームクラブ,ノーザンファーム,,
栗東,C,右,20260708,水,4:58,マテンロウルクス,,牡,3,0,藤原英昭,,141.7,121.4,102.1,84.7,69.4,54.0,38.2,23.7,12.0,20.3,19.3,17.4,15.3,15.4,15.8,14.5,11.7,12.0,2023107344,2026.7.8,栗東,リオンリオン,レディアリエッタ,寺田千代乃,ノーザンファーム,,
栗東,C,右,20260708,水,4:58,マハロハ,,牝,2,未出走,清水久詞,,139.9,119.1,99.1,81.0,65.8,50.8,36.6,22.9,11.6,20.8,20.0,18.1,15.2,15.0,14.2,13.7,11.3,11.6,2024102885,2026.7.8,栗東,コントレイル,カリンカ,寺田寿男,吉田ファーム,,
栗東,C,右,20260708,水,4:58,レクスノヴァス,,牡,4,2400,上村洋行,,144.2,123.0,101.8,83.4,68.1,53.2,37.8,23.2,11.4,21.2,21.2,18.4,15.3,14.9,15.4,14.6,11.8,11.4,2022107282,2026.7.8,栗東,キタサンブラック,ウルティマミューズ,ノルマンディーサラブレッドレーシング,浜本牧場,,
