場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,血統登録番号,日付S,所属,種牡馬名,母名,現馬主名,生産者名,関連データ,馬番/仮番(出馬表モード時のみ)
栗東,C,左,20260726,日,3:58,ガリアルダ,,牝,2,未出走,上村洋行,,154.5,131.6,109.8,91.0,73.1,55.5,38.8,24.0,11.7,22.9,21.8,18.8,17.9,17.6,16.7,14.8,12.3,11.7,2024106661,2026.7.26,栗東,サリオス,モーベット,シルクレーシング,ノーザンファーム,,
栗東,C,左,20260726,日,3:58,ソルテヴェローチェ,,牡,2,未出走,上村洋行,,153.5,131.1,109.4,90.7,73.0,55.4,38.8,24.1,11.8,22.4,21.7,18.7,17.7,17.6,16.6,14.7,12.3,11.8,2024106640,2026.7.26,栗東,マテラスカイ,ミニーアイル,"TO RACING",ノーザンファーム,,
栗東,C,左,20260726,日,3:58,ファーングロット,,牡,4,900,上村洋行,,155.4,132.1,110.3,91.3,73.4,55.7,38.9,24.0,11.7,23.3,21.8,19.0,17.9,17.7,16.8,14.9,12.3,11.7,2022105280,2026.7.26,栗東,キズナ,カウアイレーン,社台レースホース,社台ファーム,,
栗東,C,左,20260726,日,3:58,ベルソテイラ,,牝,3,400,西村真幸,,143.7,123.7,104.3,86.4,70.0,53.8,38.2,24.3,12.0,20.0,19.4,17.9,16.4,16.2,15.6,13.9,12.3,12.0,2023102641,2026.7.26,栗東,ホッコータルマエ,ティープラズマ,宮崎俊也,ゴールドアップカンパニー,,
栗東,C,左,20260726,日,4:05,ヴィヴァシャス,,牝,4,400,笹田和秀,,153.5,131.5,110.4,91.5,74.4,57.2,40.7,25.4,12.2,22.0,21.1,18.9,17.1,17.2,16.5,15.3,13.2,12.2,2022104391,2026.7.26,栗東,モズアスコット,ジニアスミノル,フジワラ・ファーム,フジワラフアーム,,
栗東,C,左,20260726,日,4:09,ピエマンソン,,牡,4,1500,平田修,,148.8,126.7,105.6,86.7,69.7,52.9,37.7,24.0,11.7,22.1,21.1,18.9,17.0,16.8,15.2,13.7,12.3,11.7,2022100204,2026.7.26,栗東,ジャスタウェイ,ミュゲプリンセス,フォレストレーシング,高昭牧場,,
栗東,C,左,20260726,日,4:12,デルアヴァー,,牡,4,1500,松永幹夫,,145.4,125.5,105.5,87.6,71.5,55.6,39.4,24.6,11.8,19.9,20.0,17.9,16.1,15.9,16.2,14.8,12.8,11.8,2022110054,2026.7.26,栗東,Frankel,"Amour Briller",前田幸治,"North Hills Co.",,
栗東,C,左,20260726,日,4:12,メイショウマグナ,,牝,3,0,石橋守,,147.4,126.4,106.4,88.4,70.9,53.3,37.8,23.9,11.7,21.0,20.0,18.0,17.5,17.6,15.5,13.9,12.2,11.7,2023102174,2026.7.26,栗東,ウインブライト,メイショウコバコ,松本好隆,林孝輝,,
栗東,C,左,20260726,日,4:13,レイアン,,牝,3,0,笹田和秀,,137.4,117.9,99.2,82.2,66.4,51.4,37.0,23.9,11.9,19.5,18.7,17.0,15.8,15.0,14.4,13.1,12.0,11.9,2023103887,2026.7.26,栗東,サートゥルナーリア,エトワール2,川勝裕之,レイクヴィラファーム,,
栗東,C,左,20260726,日,4:14,テンダーワーズ,,牝,3,0,中尾秀正,,143.0,124.1,105.7,88.4,72.1,55.7,40.7,25.9,12.6,18.9,18.4,17.3,16.3,16.4,15.0,14.8,13.3,12.6,2023103359,2026.7.26,栗東,サートゥルナーリア,オメガハートソング,吉田照哉,社台ファーム,,
栗東,C,左,20260726,日,4:15,エアフォースワン,,牡,7,400,大根田裕,,156.1,133.3,112.3,94.5,76.8,59.2,41.5,25.4,12.2,22.8,21.0,17.8,17.7,17.6,17.7,16.1,13.2,12.2,2019103506,2026.7.26,栗東,リヤンドファミユ,レディラック,駒秀,大西ファーム,,
栗東,C,左,20260726,日,4:15,ハリウッドブルース,,牡,5,1500,浜田多実,,144.8,124.8,106.0,88.0,72.2,56.5,40.7,26.3,13.5,20.0,18.8,18.0,15.8,15.7,15.8,14.4,12.8,13.5,2021104514,2026.7.26,栗東,カリフォルニアクローム,ハニーパイ,京都ホースレーシング,前谷武志,,
栗東,C,左,20260726,日,4:15,ブラストビート,,牡,3,0,浜田多実,,147.2,125.8,106.6,88.9,73.2,57.3,41.7,26.0,11.8,21.4,19.2,17.7,15.7,15.9,15.6,15.7,14.2,11.8,2023106017,2026.7.26,栗東,アメリカンペイトリオット,コテキタイ,京都ホースレーシング,高橋フアーム,,
栗東,C,左,20260726,日,4:15,ホシヲミテルンナ,,牡,2,未出走,大根田裕,,154.3,132.2,111.2,93.4,76.3,58.9,41.4,25.3,12.2,22.1,21.0,17.8,17.1,17.4,17.5,16.1,13.1,12.2,2024100227,2026.7.26,栗東,サンダースノー,イサチルルンナ,小坂功,カロッテファーム,,
栗東,C,左,20260726,日,4:18,サマーアゲイン,,牡,5,900,渡辺薫彦,,150.6,127.8,107.8,90.0,73.7,56.9,41.0,26.3,12.7,22.8,20.0,17.8,16.3,16.8,15.9,14.7,13.6,12.7,2021104669,2026.7.26,栗東,キズナ,アントワープ,glitterG,上水牧場,,
栗東,C,左,20260726,日,4:19,コルレオニス,,牡,5,1500,友道康夫,,,,,,78.7,57.9,40.5,25.2,12.6,,,,,20.8,17.4,15.3,12.6,12.6,2021105704,2026.7.26,栗東,レイデオロ,ヒストリックスター,キャロットファーム,ノーザンファーム,,
栗東,C,左,20260726,日,4:25,ホールドミーワンス,,牝,3,400,西園翔太,,152.3,128.8,106.4,86.7,70.1,54.2,38.8,24.2,11.3,23.5,22.4,19.7,16.6,15.9,15.4,14.6,12.9,11.3,2023103379,2026.7.26,栗東,ブリックスアンドモルタル,キスミーワンス,グリーンファーム,社台ファーム,,
栗東,C,左,20260726,日,4:25,ルクスポップスター,,牡,3,400,西園翔太,,153.0,129.3,106.6,86.6,69.9,54.1,38.6,24.1,11.2,23.7,22.7,20.0,16.7,15.8,15.5,14.5,12.9,11.2,2023102767,2026.7.26,栗東,ミスターメロディ,スマートニンバス,ルクス,静内山田牧場,,
栗東,C,左,20260726,日,4:26,アリュウ,,牝,3,0,井上智史,,,,,,72.2,52.7,36.3,22.9,11.4,,,,,19.5,16.4,13.4,11.5,11.4,2023104938,2026.7.26,栗東,アドマイヤマーズ,ヒラボクウィン,村木慎吾,辻牧場,,
栗東,C,左,20260726,日,4:26,ソウカイファンキー,,牡,2,未出走,杉山佳明,,,,,,74.0,55.1,38.4,23.6,11.2,,,,,18.9,16.7,14.8,12.4,11.2,2024105806,2026.7.26,栗東,ルーラーシップ,オールドパサデナ,大脇佑樹,社台ファーム,,
栗東,C,左,20260726,日,4:26,マクアケ,,牡,3,0,杉山佳明,,,,,,74.6,55.6,38.8,23.9,11.4,,,,,19.0,16.8,14.9,12.5,11.4,2023100452,2026.7.26,栗東,エスポワールシチー,ツクバエルドラド,野嶋祥二,米田牧場,,
栗東,C,左,20260726,日,4:26,ラミアスペランツァ,,牝,3,0,宮地貴稔,,156.3,132.6,110.3,90.4,72.3,55.6,39.6,25.1,12.8,23.7,22.3,19.9,18.1,16.7,16.0,14.5,12.3,12.8,2023106794,2026.7.26,栗東,キタサンブラック,アンティフォナ,シルクレーシング,社台コーポレーション白老ファーム,,
栗東,C,左,20260726,日,4:27,ジュピターバローズ,,牡,3,0,友道康夫,,145.0,125.3,106.7,89.7,73.9,57.1,41.0,26.5,12.8,19.7,18.6,17.0,15.8,16.8,16.1,14.5,13.7,12.8,2023106961,2026.7.26,栗東,ドレフォン,キャレモンショコラ,猪熊広次,ノーザンファーム,,
栗東,C,左,20260726,日,4:27,ブラックオリンピア,,牡,3,900,友道康夫,,145.1,125.3,107.1,90.3,74.2,57.8,41.7,25.7,12.1,19.8,18.2,16.8,16.1,16.4,16.1,16.0,13.6,12.1,2023107168,2026.7.26,栗東,キタサンブラック,ピノ,サンデーレーシング,ノーザンファーム,,
栗東,C,左,20260726,日,4:29,サラサキングスター,,牡,3,0,斉藤崇史,,156.1,131.5,108.1,87.1,68.2,51.4,36.0,22.7,11.5,24.6,23.4,21.0,18.9,16.8,15.4,13.3,11.2,11.5,2023102561,2026.7.26,栗東,Kingman,アロハスター,横井良明,グランド牧場,,
栗東,C,左,20260726,日,4:30,サイモンレガシー,,牡,2,0,石坂公一,,134.7,115.5,98.8,83.7,68.6,52.7,37.3,23.4,11.6,19.2,16.7,15.1,15.1,15.9,15.4,13.9,11.8,11.6,2024101202,2026.7.26,栗東,エフフォーリア,アムールリンクス,澤田昭紀,ヤナガワ牧場,,
栗東,C,左,20260726,日,4:30,サンライズレマ,,牡,3,0,石坂公一,,140.1,120.4,103.3,86.8,70.5,54.0,38.0,23.7,11.9,19.7,17.1,16.5,16.3,16.5,16.0,14.3,11.8,11.9,2023105643,2026.7.26,栗東,コントレイル,テオレーマ,ライフハウス,笠松牧場,,
栗東,C,左,20260726,日,4:30,タガノアンファン,,牡,4,900,石坂公一,,139.1,118.7,100.3,83.4,67.8,52.7,38.2,24.3,11.9,20.4,18.4,16.9,15.6,15.1,14.5,13.9,12.4,11.9,2022106555,2026.7.26,栗東,レッドベルジュール,タガノヴィアトゥル,八木良司,新冠タガノファーム,,
栗東,C,左,20260726,日,4:38,シンビリーブ,,牡,4,1500,森秀行,,153.4,129.0,107.1,88.5,71.9,55.2,39.0,23.8,11.4,24.4,21.9,18.6,16.6,16.7,16.2,15.2,12.4,11.4,2022110115,2026.7.26,栗東,Constitution,"Sand Puce",藤田晋,"Don Alberto Corporation",,
栗東,C,左,20260726,日,4:39,ポッドビート,,牡,2,未出走,森秀行,,145.2,125.8,105.4,86.6,69.3,52.7,37.6,23.9,12.1,19.4,20.4,18.8,17.3,16.6,15.1,13.7,11.8,12.1,2024108315,2026.7.26,栗東,Nashville,"Kiss Me",小川眞査雄,"TFVM Farm LLC",,
栗東,C,左,20260726,日,4:39,ミライノシャチョウ,,牝,2,未出走,森秀行,,143.1,121.3,101.1,83.3,67.3,51.9,38.6,25.8,12.7,21.8,20.2,17.8,16.0,15.4,13.3,12.8,13.1,12.7,2024108324,2026.7.26,栗東,"Liam's Map","Bodee Beautiful",ミキハウスHKサービス,"Fred W. Hertrich III & John D. Fielding",,
栗東,C,左,20260726,日,4:39,モノホンプレイヤー,,牡,2,未出走,森秀行,,146.2,126.1,105.9,87.0,69.7,52.7,37.4,23.6,11.7,20.1,20.2,18.9,17.3,17.0,15.3,13.8,11.9,11.7,2024108323,2026.7.26,栗東,Violence,"Ellan Vannin",藤田晋,"Hill 'N' Dale Farm & Mario Serrani",,
栗東,C,左,20260726,日,4:51,セントピュアベース,,牝,3,0,藤野健太,,150.5,128.1,106.8,87.8,70.3,53.2,37.9,23.7,11.8,22.4,21.3,19.0,17.5,17.1,15.3,14.2,11.9,11.8,2023100580,2026.7.26,栗東,クリソベリル,プリンシアコメータ,中村規,アイズスタッド,,
栗東,C,左,20260726,日,4:51,ヒルノジェノヴァ,,牝,3,0,藤野健太,,149.3,127.6,106.5,87.6,70.3,53.5,38.6,24.4,12.5,21.7,21.1,18.9,17.3,16.8,14.9,14.2,11.9,12.5,2023102487,2026.7.26,栗東,タリスマニック,ヤマカツナタリー,ヒルノ,岡田牧場,,
栗東,C,左,20260726,日,4:51,ラブシンフォニー,,牝,2,0,藤野健太,,149.8,127.6,106.3,87.2,69.9,53.0,37.7,23.6,11.7,22.2,21.3,19.1,17.3,16.9,15.3,14.1,11.9,11.7,2024107177,2026.7.26,栗東,インカンテーション,ウエスタンバーキン,土山勝史,渡辺隆,,
栗東,C,左,20260726,日,4:53,グランセンチュリ,,牡,3,未出走,庄野靖志,,,,,,67.7,50.7,36.6,23.9,12.2,,,,,17.0,14.1,12.7,11.7,12.2,2023101990,2026.7.26,栗東,パイロ,グランシュクレ,間宮秀直,カナイシスタッド,,
栗東,C,左,20260726,日,4:54,アンクルクロス,,牡,5,2400,高橋亮,,,,,,79.3,60.2,42.3,25.3,12.0,,,,,19.1,17.9,17.0,13.3,12.0,2021101598,2026.7.26,栗東,タリスマニック,ウインクルキラリ,塚本能交,竹島幸治,,
栗東,C,左,20260726,日,4:58,ホウオウサンデー,,牡,8,900,井上智史,,132.2,113.8,96.0,80.0,65.3,50.6,36.1,23.0,12.0,18.4,17.8,16.0,14.7,14.7,14.5,13.1,11.0,12.0,2018105047,2026.7.26,栗東,キングカメハメハ,サンデースマイル2,小笹芳央,ノーザンファーム,,
栗東,C,左,20260726,日,5:04,デールエルバハリ,,牝,3,400,杉山佳明,,,,,,74.2,54.8,38.3,23.5,11.2,,,,,19.4,16.5,14.8,12.3,11.2,2023106955,2026.7.26,栗東,クリソベリル,カーミングエフェクト,篁真一郎,ノーザンファーム,,
栗東,C,左,20260726,日,5:04,ノアールビーナス,,牝,3,400,杉山佳明,,,,,,74.6,55.1,38.5,23.6,11.1,,,,,19.5,16.6,14.9,12.5,11.1,2023104047,2026.7.26,栗東,ドレフォン,カフジビーナス,辻子依旦,川島牧場,,
栗東,C,左,20260726,日,5:05,テクネチウム,,セ,5,0,前川恭子,,165.1,139.4,114.0,92.7,74.0,56.6,39.8,24.7,12.1,25.7,25.4,21.3,18.7,17.4,16.8,15.1,12.6,12.1,2021104280,2026.7.26,栗東,マクフィ,プリンセス,加藤千豊,橋本牧場,,
栗東,C,左,20260726,日,5:14,フェルシナ,,牝,4,400,西園翔太,,154.7,128.4,104.6,85.1,69.5,54.1,39.0,24.7,12.2,26.3,23.8,19.5,15.6,15.4,15.1,14.3,12.5,12.2,2022105831,2026.7.26,栗東,ルーラーシップ,ヒルダ,ライオンレースホース,社台コーポレーション白老ファーム,,
栗東,C,左,20260726,日,5:15,ソルアモール,,牝,3,0,宮本博,,,,,,80.2,58.1,41.0,25.7,12.3,,,,,22.1,17.1,15.3,13.4,12.3,2023100906,2026.7.26,栗東,ドレフォン,エスカナール,下河辺牧場,下河辺牧場,,
栗東,C,左,20260726,日,5:31,コパノマハロ,,牝,2,未出走,宮徹,,204.5,153.9,119.6,95.1,75.2,56.1,39.1,23.9,11.7,50.6,34.3,24.5,19.9,19.1,17.0,15.2,12.2,11.7,2024102103,2026.7.26,栗東,リオンディーズ,スールキートス,小林祥晃,日進牧場,,
栗東,C,左,20260726,日,5:31,ノンヴェドローラ,,牝,2,未出走,宮徹,,203.9,153.5,118.7,94.3,74.4,55.5,39.0,23.9,11.7,50.4,34.8,24.4,19.9,18.9,16.5,15.1,12.2,11.7,2024103582,2026.7.26,栗東,ベンバトル,エントリーチケット,サラブレッドクラブ・ラフィアン,ビッグレッドファーム,,
栗東,C,左,20260726,日,5:38,ジーティーピカソ,,牡,3,0,宮地貴稔,,145.0,124.5,104.7,86.9,70.3,53.9,39.0,25.0,12.8,20.5,19.8,17.8,16.6,16.4,14.9,14.0,12.2,12.8,2023102092,2026.7.26,栗東,ヴァンゴッホ,プレインズウーマン,田畑利彦,谷川牧場,,
栗東,C,左,20260726,日,5:38,ティフォシ,,牡,2,未出走,宮地貴稔,,144.8,124.2,104.6,86.9,70.2,53.8,38.9,24.9,12.8,20.6,19.6,17.7,16.7,16.4,14.9,14.0,12.1,12.8,2024103816,2026.7.26,栗東,サリオス,ブランダルジャン,マイスタリオン,三村卓也,,
栗東,C,左,20260726,日,5:42,マイコンプリート,,セ,3,未出走,友道康夫,,138.8,120.7,103.1,86.9,70.8,54.0,37.3,23.5,11.9,18.1,17.6,16.2,16.1,16.8,16.7,13.8,11.6,11.9,2023107155,2026.7.26,栗東,エピファネイア,パシオンルージュ,キーファーズ,ノーザンファーム,,
栗東,C,左,20260726,日,5:43,サトノグロリア,,牡,3,0,友道康夫,,147.5,127.6,108.7,91.4,74.9,58.2,41.8,26.6,12.8,19.9,18.9,17.3,16.5,16.7,16.4,15.2,13.8,12.8,2023106888,2026.7.26,栗東,サートゥルナーリア,ウィープノーモア,里見治,ノーザンファーム,,
栗東,C,左,20260726,日,5:47,ケーブパール,,牝,5,1500,友道康夫,,,,,,98.1,57.3,39.4,23.7,11.3,,,,,40.8,17.9,15.7,12.4,11.3,2021105161,2026.7.26,栗東,ブリックスアンドモルタル,ハナレイムーン,金子真人ホールディングス,社台ファーム,,
栗東,C,左,20260726,日,6:17,ピョイットハレルヤ,,牝,3,0,浜田多実,,143.2,123.5,104.6,87.7,73.1,56.8,41.2,26.0,12.0,19.7,18.9,16.9,14.6,16.3,15.6,15.2,14.0,12.0,2023105427,2026.7.26,栗東,フォーウィールドライブ,オルトリンデ,大田恭充,アフリートファーム,,
栗東,C,左,20260726,日,6:24,ジューンアヲニヨシ,,牡,6,3800,松下武士,,152.8,124.8,102.2,85.7,70.8,55.3,39.5,24.5,11.9,28.0,22.6,16.5,14.9,15.5,15.8,15.0,12.6,11.9,2020100912,2026.7.26,栗東,キズナ,オールブランニュー,吉川潤,ヒダカフアーム,,
栗東,C,左,20260726,日,6:25,ドットクルー,,牡,6,1500,笹田和秀,,139.7,119.2,100.6,83.6,68.4,53.5,39.1,25.0,12.3,20.5,18.6,17.0,15.2,14.9,14.4,14.1,12.7,12.3,2020101486,2026.7.26,栗東,ディーマジェスティ,スターオブロゼッタ,幅田昌伸,佐々木牧場,,
栗東,C,左,20260726,日,6:25,メイショウクリフト,,牡,7,1500,笹田和秀,,136.5,118.7,100.7,83.3,67.8,52.9,38.3,24.4,11.9,17.8,18.0,17.4,15.5,14.9,14.6,13.9,12.5,11.9,2019104260,2026.7.26,栗東,シルバーステート,メイショウレクセラ,松本好隆,中脇一幸,,
栗東,C,左,20260726,日,6:54,ガラード,,牡,3,0,杉山佳明,,,,,,76.2,56.2,40.0,26.1,12.5,,,,,20.0,16.2,13.9,13.6,12.5,2023100855,2026.7.26,栗東,ルヴァンスレーヴ,クオリティスタート,中辻明,小西章,,
栗東,C,左,20260726,日,6:57,フィールライクユー,,牝,3,0,森田直行,,138.0,118.2,100.4,83.9,68.2,52.6,38.5,24.4,11.9,19.8,17.8,16.5,15.7,15.6,14.1,14.1,12.5,11.9,2023106157,2026.7.26,栗東,オルフェーヴル,ヘルムヴィーゲ,ディアレストクラブ,ディアレストクラブ,,
栗東,C,左,20260726,日,6:59,ゴートゥファースト,,牡,6,2400,新谷功一,,,,,,77.9,57.7,41.1,25.8,13.0,,,,,20.2,16.6,15.3,12.8,13.0,2020103464,2026.7.26,栗東,ルーラーシップ,タイトルパート,後藤和成,ノーザンファーム,,
栗東,C,左,20260726,日,7:33,マーゴットミスト,,牡,3,400,杉山佳明,,,,,,72.6,54.8,38.8,24.0,11.1,,,,,17.8,16.0,14.8,12.9,11.1,2023101632,2026.7.26,栗東,ビッグアーサー,フジワンキララ,前田良平,秋場牧場,,
美浦,D,右,20260726,日,4:58,ボールドゾーン,,牡,6,1500,木村哲也,154.9,133.0,114.1,97.2,80.9,65.9,51.0,37.3,24.1,11.6,18.9,16.9,16.3,15.0,14.9,13.7,13.2,12.5,11.6,2020110130,2026.7.26,美浦,Mendelssohn,"Halo Dolly",シルクレーシング,"Spendthrift Farm LLC",,
美浦,D,右,20260726,日,5:00,オウケンサクラコ,,牝,3,0,田中勝春,168.3,142.4,121.3,102.1,84.5,69.5,54.2,39.3,24.9,11.9,21.1,19.2,17.6,15.0,15.3,14.9,14.4,13.0,11.9,2023105601,2026.7.26,美浦,レインボーライン,オウケンサクラブ,福井明,奥山ファーム,,
美浦,D,右,20260726,日,5:00,スタニングヴュー,,牝,4,500,金成貴史,175.9,154.6,134.3,114.2,95.0,76.4,57.8,40.7,25.4,11.6,20.3,20.1,19.2,18.6,18.6,17.1,15.3,13.8,11.6,2022101272,2026.7.26,美浦,リアルスティール,ラバーズケープ,木村牧場,木村牧場,,
美浦,D,右,20260726,日,5:00,ヒットアンドロール,,牡,5,0,田中勝春,169.3,142.9,121.7,102.4,84.8,69.7,54.5,39.6,25.1,12.0,21.2,19.3,17.6,15.1,15.2,14.9,14.5,13.1,12.0,2021104974,2026.7.26,美浦,ブリックスアンドモルタル,エオリアンハープ,薗部博之,社台ファーム,,
美浦,D,右,20260726,日,5:00,ミエノフェアリー,,牝,4,400,古賀慎明,,,,,,,56.6,40.3,25.4,11.7,,,,,,16.3,14.9,13.7,11.7,2022102064,2026.7.26,美浦,キズナ,ファータグリーン,里見美惠子,本間牧場,,
美浦,D,右,20260726,日,5:01,コンフィアル,,牡,2,未出走,嘉藤貴行,,,,,90.9,72.2,55.9,40.7,26.3,13.4,,,,18.7,16.3,15.2,14.4,12.9,13.4,2024105763,2026.7.26,美浦,ダノンキングリー,ウーターン,社台レースホース,社台ファーム,,
美浦,D,右,20260726,日,5:01,サンセットブライト,,牝,5,1500,相沢郁,,,,,88.4,70.1,53.6,38.8,24.5,11.4,,,,18.3,16.5,14.8,14.3,13.1,11.4,2021102753,2026.7.26,美浦,ホッコータルマエ,デルマオサキ,神田紘爾,金成吉田牧場,,
美浦,D,右,20260726,日,5:01,ピースフルワールド,,牝,5,0,吉村圭司,,,,,89.1,70.3,53.9,38.6,24.4,11.5,,,,18.8,16.4,15.3,14.2,12.9,11.5,2021102483,2026.7.26,栗東,マインドユアビスケッツ,ブリリアントピース,山田弘,寺井文秀,,
美浦,D,右,20260726,日,5:01,フィールオーサム,,牝,4,900,岩戸孝樹,,,,,88.9,70.2,54.2,38.9,24.0,11.1,,,,18.7,16.0,15.3,14.9,12.9,11.1,2022105925,2026.7.26,美浦,ルヴァンスレーヴ,フィールザプリティ,櫻井正,平岡牧場,,
美浦,D,右,20260726,日,5:01,ペリエール,,牡,6,7250,黒岩陽一,,,,,83.5,67.0,52.3,37.6,23.6,11.1,,,,16.5,14.7,14.7,14.0,12.5,11.1,2020101874,2026.7.26,美浦,ヘニーヒューズ,ソフトライム,長谷川祐司,チャンピオンズファーム,,
美浦,D,右,20260726,日,5:01,モナコブル,,牡,5,900,岩戸孝樹,,,,,89.7,70.8,54.2,38.8,24.5,11.5,,,,18.9,16.6,15.4,14.3,13.0,11.5,2021109096,2026.7.26,美浦,ニューイヤーズデイ,メイチャリティ,千明牧場,千明牧場,,
美浦,D,右,20260726,日,5:01,ヤマニンアレシス,,牡,3,0,堀内岳志,,,,,85.1,67.7,52.6,37.8,24.2,11.6,,,,17.4,15.1,14.8,13.6,12.6,11.6,2023104357,2026.7.26,美浦,イスラボニータ,ヤマニンアストレア,土井肇,錦岡牧場,,
美浦,D,右,20260726,日,5:01,ラフエイジアン,,セ,6,1500,中舘英二,,,,,89.4,71.2,54.5,39.4,24.9,12.0,,,,18.2,16.7,15.1,14.5,12.9,12.0,2020104738,2026.7.26,美浦,アジアエクスプレス,アラピンタ,尾崎恒男,フジワラフアーム,,
