場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,血統登録番号,日付S,所属,種牡馬名,母名,現馬主名,生産者名,関連データ,馬番/仮番(出馬表モード時のみ)
栗東,C,右,20260731,金,4:59,グルード,,牡,2,未出走,牧田和弥,,147.5,126.5,106.1,86.6,70.0,54.6,39.0,24.1,11.8,21.0,20.4,19.5,16.6,15.4,15.6,14.9,12.3,11.8,2024101155,2026.7.31,栗東,オルフェーヴル,ザッハトルテ,永田和彦,森永牧場,,
栗東,C,右,20260731,金,4:59,ピーコパーコ,,牡,2,未出走,牧田和弥,,147.5,126.5,106.1,86.6,70.0,54.6,39.1,24.2,11.8,21.0,20.4,19.5,16.6,15.4,15.5,14.9,12.4,11.8,2024107234,2026.7.31,栗東,サトノクラウン,インザムービー,安原麻美,岡田牧場,,
栗東,C,右,20260731,金,5:01,グランワールド,,牡,3,0,新谷功一,,148.2,126.1,104.8,85.8,69.2,53.6,38.2,24.1,11.9,22.1,21.3,19.0,16.6,15.6,15.4,14.1,12.2,11.9,2023101572,2026.7.31,栗東,シニスターミニスター,コパノプリンセス,サイプレスホールディングス,ヤナガワ牧場,,
栗東,C,右,20260731,金,5:01,レイクラシック,,牝,3,400,新谷功一,,146.3,124.6,103.3,84.3,67.8,52.5,37.0,22.9,11.0,21.7,21.3,19.0,16.5,15.3,15.5,14.1,11.9,11.0,2023103906,2026.7.31,栗東,キタサンブラック,メジロジェニファー,長谷川守正,レイクヴィラファーム,,
栗東,C,右,20260731,金,5:19,ドミナント,,牝,2,未出走,福永祐一,,,,,85.3,69.8,55.0,38.7,23.8,12.0,,,,15.5,14.8,16.3,14.9,11.8,12.0,2024106219,2026.7.31,栗東,コントレイル,エスポワール,平田修,ノーザンファーム,,
栗東,C,右,20260731,金,5:19,ビヨンドザスカイ,,牡,2,未出走,福永祐一,,,,,86.2,70.7,55.5,39.0,24.0,12.0,,,,15.5,15.2,16.5,15.0,12.0,12.0,2024103486,2026.7.31,栗東,コントレイル,ミセスフィッツハーバート,ノースヒルズ,ノースヒルズ,,
栗東,C,右,20260731,金,5:19,マルカルーカス,,牡,2,未出走,福永祐一,,,,,86.6,70.7,55.5,39.0,23.7,11.9,,,,15.9,15.2,16.5,15.3,11.8,11.9,2024106041,2026.7.31,栗東,マインドユアビスケッツ,マルカソレイユ,日下部猛,社台ファーム,,
栗東,C,右,20260731,金,5:22,リリージョワ,,牝,3,2200,武幸四郎,,140.7,119.4,99.7,81.6,65.7,51.0,36.7,23.0,11.4,21.3,19.7,18.1,15.9,14.7,14.3,13.7,11.6,11.4,2023105312,2026.7.31,栗東,シルバーステート,デサフィアンテ,Gリビエール・レーシング,ノーザンファーム,,
栗東,C,右,20260731,金,5:32,オリバナム,,牝,4,900,斉藤崇史,,145.4,123.3,102.2,84.0,68.7,53.6,38.2,23.8,11.7,22.1,21.1,18.2,15.3,15.1,15.4,14.4,12.1,11.7,2022100381,2026.7.31,栗東,ロジャーバローズ,ハマオリ,フロンティア,ヒダカフアーム,,
栗東,C,右,20260731,金,5:32,マンナット,,牡,2,未出走,斉藤崇史,,145.2,123.2,102.1,83.9,68.6,53.6,38.2,24.0,11.9,22.0,21.1,18.2,15.3,15.0,15.4,14.2,12.1,11.9,2024100654,2026.7.31,栗東,キズナ,サマーエモーション,ゴドルフィン,ダーレー・ジャパン・ファーム,,
栗東,C,右,20260731,金,5:46,ゼンノインヴォーク,,セ,7,400,緒方努,,153.1,127.7,103.5,83.9,67.6,52.8,37.8,23.6,11.6,25.4,24.2,19.6,16.3,14.8,15.0,14.2,12.0,11.6,2019100915,2026.7.31,栗東,シルバーステート,ヴォワルドール,大迫久美子,村上欽哉,,
栗東,C,右,20260731,金,6:25,ピゲ,,牡,3,0,高橋康之,,,,,,,56.2,39.1,23.6,11.5,,,,,,17.1,15.5,12.1,11.5,2023105602,2026.7.31,栗東,ヘニーヒューズ,クインズアダマン,サイプレスホールディングス,奥山ファーム,,
栗東,C,右,20260731,金,6:25,マユナイト,,牝,3,0,高橋康之,,,,,,,54.5,37.8,23.1,11.2,,,,,,16.7,14.7,11.9,11.2,2023103534,2026.7.31,栗東,ミスチヴィアスアレックス,プランタンビジュー,会田浩史,社台ファーム,,
