場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,血統登録番号,日付S,所属,種牡馬名,母名,現馬主名,生産者名,関連データ,馬番/仮番(出馬表モード時のみ)
栗東,C,右,20260724,金,5:35,オリバナム,,牝,4,900,斉藤崇史,,150.4,128.0,106.3,88.0,71.3,55.6,40.0,25.2,12.4,22.4,21.7,18.3,16.7,15.7,15.6,14.8,12.8,12.4,2022100381,2026.7.24,栗東,ロジャーバローズ,ハマオリ,フロンティア,ヒダカフアーム,,
栗東,C,右,20260724,金,5:35,レッドリガーレ,,牡,3,400,斉藤崇史,,150.1,127.5,105.9,87.7,71.0,55.3,39.8,25.0,12.4,22.6,21.6,18.2,16.7,15.7,15.5,14.8,12.6,12.4,2023106614,2026.7.24,栗東,モーリス,ペイフォワード,東京ホースレーシング,杵臼牧場,,
栗東,C,右,20260724,金,6:43,アンビシャスヨシノ,,牡,4,1000,吉田直弘,,135.5,117.9,99.3,79.9,64.8,51.1,37.4,24.3,12.4,17.6,18.6,19.4,15.1,13.7,13.7,13.1,11.9,12.4,2022101903,2026.7.24,栗東,アルアイン,ウインドクラスト,清水義徳,春木ファーム,,
栗東,C,右,20260724,金,6:43,パンチャマハブータ,,牝,3,400,吉田直弘,,142.0,123.9,104.3,85.5,69.5,54.0,38.7,24.2,11.7,18.1,19.6,18.8,16.0,15.5,15.3,14.5,12.5,11.7,2023101404,2026.7.24,栗東,アドマイヤマーズ,ツキノサバク,ウエスト.フォレスト.ステイブル,碧雲牧場,,
栗東,C,右,20260724,金,7:26,グランワールド,,牡,3,0,新谷功一,,155.5,136.0,115.1,94.8,76.9,59.8,41.6,25.2,12.1,19.5,20.9,20.3,17.9,17.1,18.2,16.4,13.1,12.1,2023101572,2026.7.24,栗東,シニスターミニスター,コパノプリンセス,サイプレスホールディングス,ヤナガワ牧場,,
栗東,C,右,20260724,金,7:27,マイシドニー,,牡,3,0,新谷功一,,,,,141.7,129.1,110.7,83.7,25.2,11.9,,,,12.6,18.4,27.0,58.5,13.3,11.9,2023107511,2026.7.24,栗東,"Wootton Bassett",Monegal,岡浩二,"Cunningham Thoroughbreds Pty Ltd",,
美浦,D,左,20260724,金,4:58,カルダモン,,牝,3,0,黒岩陽一,160.7,140.0,121.3,102.2,83.8,68.0,51.9,36.9,23.2,11.2,18.7,19.1,18.4,15.8,16.1,15.0,13.7,12.0,11.2,2023107051,2026.7.24,美浦,キズナ,シークレットスパイス,サンデーレーシング,ノーザンファーム,,
美浦,D,左,20260724,金,4:58,コスモプルー,,牝,2,未出走,黒岩陽一,160.1,139.7,121.1,102.0,83.7,67.8,51.7,36.8,23.1,11.4,18.6,19.1,18.3,15.9,16.1,14.9,13.7,11.7,11.4,2024103576,2026.7.24,美浦,ダノンキングリー,ヴァニティールールズ,ビッグレッドファーム,ビッグレッドファーム,,
美浦,D,左,20260724,金,4:58,マオノクラッシュ,,牝,4,400,黒岩陽一,161.3,140.4,121.7,102.4,83.9,68.1,52.1,37.1,23.3,11.3,18.7,19.3,18.5,15.8,16.0,15.0,13.8,12.0,11.3,2022101864,2026.7.24,美浦,リアルインパクト,ネオヴェルザンディ,湯浅健司,日西牧場,,
美浦,D,左,20260724,金,5:03,ケイベエ,,牡,3,0,杉浦宏昭,,,,,90.7,69.3,53.5,38.7,24.5,11.8,,,,21.4,15.8,14.8,14.2,12.7,11.8,2023102803,2026.7.24,美浦,エピファネイア,トゥアーニー,桑野克己,タイヘイ牧場,,
