場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,血統登録番号,日付S,所属,種牡馬名,母名,現馬主名,生産者名,関連データ,馬番/仮番(出馬表モード時のみ)
栗東,C,右,20260905,土,2:47,フォーエバーヤング,,牡,5,229450,矢作芳人,,149.0,125.2,101.1,81.0,65.3,50.6,35.8,22.4,11.0,23.8,24.1,20.1,15.7,14.7,14.8,13.4,11.4,11.0,2021105727,2026.9.5,栗東,リアルスティール,フォエヴァーダーリング,藤田晋,ノーザンファーム,,
栗東,C,右,20260905,土,4:28,アンドレバローズ,,牡,2,未出走,清水久詞,,147.0,123.0,101.6,83.0,67.2,52.4,37.5,24.1,12.3,24.0,21.4,18.6,15.8,14.8,14.9,13.4,11.8,12.3,2024100442,2026.9.5,栗東,ルヴァンスレーヴ,ジェラスキャット,猪熊広次,下河辺牧場,,
栗東,C,右,20260905,土,4:28,アヴァロン,,牡,2,未出走,清水久詞,,145.5,122.7,102.1,83.9,68.4,53.2,37.8,23.3,11.4,22.8,20.6,18.2,15.5,15.2,15.4,14.5,11.9,11.4,2024101893,2026.9.5,栗東,キタサンブラック,ルガーサント,ターフ・スポート,谷川牧場,,
栗東,C,右,20260905,土,4:28,メイプルルビー,,牝,2,未出走,清水久詞,,146.1,123.3,102.7,84.4,68.9,53.6,38.1,23.5,11.4,22.8,20.6,18.3,15.5,15.3,15.5,14.6,12.1,11.4,2024104535,2026.9.5,栗東,エフフォーリア,ルリオン,節英司,静内山田牧場,,
栗東,C,右,20260905,土,4:28,リンカーンバローズ,,牡,2,未出走,清水久詞,,145.6,122.9,102.3,83.9,68.5,53.1,37.8,23.3,11.3,22.7,20.6,18.4,15.4,15.4,15.3,14.5,12.0,11.3,2024104871,2026.9.5,栗東,キタサンブラック,マニヤラ,猪熊広次,服部牧場,,
栗東,C,右,20260905,土,4:28,ロードスピアヘッド,,牡,2,未登録,,,145.5,122.5,101.1,82.5,66.6,52.0,37.4,23.9,12.2,23.0,21.4,18.6,15.9,14.6,14.6,13.5,11.7,12.2,2024105272,2026.9.5,,ロードカナロア,アルセナーレ,,ケイアイファーム,,
栗東,C,右,20260905,土,4:29,アイデア,,牡,2,未出走,中内田充,,150.2,132.3,114.4,97.8,82.2,66.1,49.3,32.3,16.4,17.9,17.9,16.6,15.6,16.1,16.8,17.0,15.9,16.4,2024106722,2026.9.5,栗東,ブリックスアンドモルタル,レイリオン,石川達絵,ノーザンファーム,,
栗東,C,右,20260905,土,4:29,サークルオブジョイ,,牡,5,1500,池添学,,164.3,142.0,122.1,104.3,86.5,68.6,50.7,34.0,17.3,22.3,19.9,17.8,17.8,17.9,17.9,16.7,16.7,17.3,2021105796,2026.9.5,栗東,Constitution,マース,サンデーレーシング,ノーザンファーム,,
栗東,C,右,20260905,土,4:30,マイリトルヒーロー,,牡,3,400,高橋康之,,,,,,,103.8,74.7,48.3,23.8,,,,,,29.1,26.4,24.5,23.8,2023106785,2026.9.5,栗東,イスラボニータ,プレシャスガール,京都ホースレーシング,上野正恵,,
栗東,C,右,20260905,土,4:31,ココモフィーバー,,牝,2,0,池添学,,186.4,162.0,137.6,115.2,94.3,73.7,53.2,33.6,16.7,24.4,24.4,22.4,20.9,20.6,20.5,19.6,16.9,16.7,2024105595,2026.9.5,栗東,インディチャンプ,ポルケテスエーニョ,福本純,水丸牧場,,
栗東,C,右,20260905,土,4:33,アイスヴィレッジ,,牡,4,140,高橋康之,,208.4,184.1,159.8,135.9,113.1,89.8,66.3,42.7,21.8,24.3,24.3,23.9,22.8,23.3,23.5,23.6,20.9,21.8,2022103702,2026.9.5,栗東,ブリックスアンドモルタル,ユキアカリノマチ,ノルマンディーサラブレッドレーシング,神垣道弘,,
栗東,C,右,20260905,土,4:33,アストラルライト,,牝,2,未出走,安田翔伍,,,,,,,77.4,56.6,36.9,18.3,,,,,,20.8,19.7,18.6,18.3,2024106612,2026.9.5,栗東,コントレイル,マジックアティテュード,サンデーレーシング,ノーザンファーム,,
栗東,C,右,20260905,土,4:33,ウィリーウィリー,,牡,2,未出走,森田直行,,,,,,,110.5,80.0,52.4,24.9,,,,,,30.5,27.6,27.5,24.9,2024105274,2026.9.5,栗東,ダノンスマッシュ,ウィンディスペル,中村祐子,ケイアイファーム,,
栗東,C,右,20260905,土,4:33,ガリアルダ,,牝,2,0,上村洋行,,,,,,,211.2,158.2,107.0,53.4,,,,,,53.0,51.2,53.6,53.4,2024106661,2026.9.5,栗東,サリオス,モーベット,シルクレーシング,ノーザンファーム,,
栗東,C,右,20260905,土,4:33,ラグーナロサ,,牝,2,未出走,上村洋行,,,,,,,211.2,158.9,108.4,53.9,,,,,,52.3,50.5,54.5,53.9,2024106710,2026.9.5,栗東,Frankel,ルジール,サンデーレーシング,ノーザンファーム,,
栗東,C,右,20260905,土,4:33,ルパドゥクール,,牝,2,未出走,上村洋行,,,,,,,211.2,158.9,108.4,54.0,,,,,,52.3,50.5,54.4,54.0,2024105853,2026.9.5,栗東,モーリス,ゴージャスランチ,社台レースホース,社台ファーム,,
栗東,C,右,20260905,土,4:33,ワイルドブッター,,セ,4,400,武英智,,143.9,123.0,104.7,87.8,71.5,55.1,38.3,23.6,11.8,20.9,18.3,16.9,16.3,16.4,16.8,14.7,11.8,11.8,2022105077,2026.9.5,栗東,キンシャサノキセキ,ミセスワタナベ,モンレーヴ,ノーザンファーム,,
栗東,C,右,20260905,土,4:34,スターリーデー,,牝,2,0,茶木太樹,,,,,,,87.3,62.8,39.8,19.0,,,,,,24.5,23.0,20.8,19.0,2024107146,2026.9.5,栗東,インディチャンプ,インザスポットライト,竹内真,レイクヴィラファーム,,
栗東,C,右,20260905,土,4:34,スペクトリオン,,牡,2,未出走,茶木太樹,,,,,,,88.4,62.7,39.4,19.1,,,,,,25.7,23.3,20.3,19.1,2024104196,2026.9.5,栗東,デクラレーションオブウォー,アマービレ,安原麻美,岡田牧場,,
栗東,C,右,20260905,土,4:34,ダノンジャイアン,,牡,4,1500,茶木太樹,,,,,,,88.3,62.8,39.8,19.1,,,,,,25.5,23.0,20.7,19.1,2022105399,2026.9.5,栗東,ブリックスアンドモルタル,ダノンジャンヌ,ダノックス,社台ファーム,,
栗東,C,右,20260905,土,4:34,ヴェルソドルチェ,,牝,2,未出走,茶木太樹,,,,,,,87.6,62.4,39.6,19.2,,,,,,25.2,22.8,20.4,19.2,2024105920,2026.9.5,栗東,サートゥルナーリア,セコンドピアット,社台レースホース,社台ファーム,,
栗東,C,右,20260905,土,4:37,エピッククイーン,,牝,3,400,中内田充,,,,,,,72.6,52.7,34.5,17.2,,,,,,19.9,18.2,17.3,17.2,2023106999,2026.9.5,栗東,エピファネイア,コスモポリタンクイーン,DMMドリームクラブ,ノーザンファーム,,
栗東,C,右,20260905,土,4:37,メイショウクモイ,,牡,6,400,飯田祐史,,184.9,158.9,132.8,109.8,89.1,70.0,52.2,34.4,17.4,26.0,26.1,23.0,20.7,19.1,17.8,17.8,17.0,17.4,2020106922,2026.9.5,栗東,フリオーソ,メーシャンス,松本好隆,三嶋牧場,,
栗東,C,右,20260905,土,4:38,ブロンテス,,牡,3,400,大根田裕,,,,,,,72.0,54.0,35.8,18.2,,,,,,18.0,18.2,17.6,18.2,2023104752,2026.9.5,栗東,ミスチヴィアスアレックス,バーニングハート,奥雅哉,山岡牧場,,
栗東,C,右,20260905,土,4:38,マテンロウギフト,,牡,4,900,茶木太樹,,201.3,176.1,151.0,128.4,107.6,87.0,65.6,43.1,21.5,25.2,25.1,22.6,20.8,20.6,21.4,22.5,21.6,21.5,2022105164,2026.9.5,栗東,サートゥルナーリア,レディアリエッタ,寺田千代乃,ノーザンファーム,,
栗東,C,右,20260905,土,4:39,ガリアルダ,,牝,2,0,上村洋行,,355.8,305.6,250.6,196.0,157.0,122.6,90.5,59.8,29.3,50.2,55.0,54.6,39.0,34.4,32.1,30.7,30.5,29.3,2024106661,2026.9.5,栗東,サリオス,モーベット,シルクレーシング,ノーザンファーム,,
栗東,C,右,20260905,土,4:39,フルレゾン,,牝,5,900,池添学,,,,,,,66.1,48.8,31.7,15.7,,,,,,17.3,17.1,16.0,15.7,2021104840,2026.9.5,栗東,オルフェーヴル,カイカヨソウ,キャロットファーム,社台コーポレーション白老ファーム,,
栗東,C,右,20260905,土,4:39,ラグーナロサ,,牝,2,未出走,上村洋行,,355.8,305.7,250.7,196.0,157.3,122.6,90.8,60.0,29.4,50.1,55.0,54.7,38.7,34.7,31.8,30.8,30.6,29.4,2024106710,2026.9.5,栗東,Frankel,ルジール,サンデーレーシング,ノーザンファーム,,
栗東,C,右,20260905,土,4:39,ルパドゥクール,,牝,2,未出走,上村洋行,,356.0,305.8,250.9,196.3,157.3,122.6,91.1,60.0,29.3,50.2,54.9,54.6,39.0,34.7,31.5,31.1,30.7,29.3,2024105853,2026.9.5,栗東,モーリス,ゴージャスランチ,社台レースホース,社台ファーム,,
栗東,C,右,20260905,土,4:40,アルビオン,,牝,3,400,笹田和秀,,,,,,,69.4,50.6,32.6,15.9,,,,,,18.8,18.0,16.7,15.9,2023103150,2026.9.5,栗東,ダイワメジャー,アラピンタ,フジワラ・ファーム,フジワラフアーム,,
栗東,C,右,20260905,土,4:40,ピースインサイト,,牡,2,未出走,池添学,,,,,,,70.3,50.9,32.9,16.6,,,,,,19.4,18.0,16.3,16.6,2024106529,2026.9.5,栗東,アルアイン,ピースエンブレム,キャロットファーム,ノーザンファーム,,
栗東,C,右,20260905,土,4:40,マーベリックシチー,,牡,5,400,岡田稲男,,185.5,162.7,139.5,117.4,97.2,77.2,56.8,36.1,17.3,22.8,23.2,22.1,20.2,20.0,20.4,20.7,18.8,17.3,2021100387,2026.9.5,栗東,パイロ,ラフィネシチー,友駿ホースクラブ,幌村牧場,,
栗東,C,右,20260905,土,4:41,ジェルメーヌ,,牝,2,未出走,中尾秀正,,172.9,150.9,129.9,110.0,91.7,73.1,53.3,33.8,16.3,22.0,21.0,19.9,18.3,18.6,19.8,19.5,17.5,16.3,2024107301,2026.9.5,栗東,サンダースノー,ヒメスズラン,清宮義男,大狩部牧場,,
栗東,C,右,20260905,土,4:41,ブロンテス,,牡,3,400,大根田裕,,161.2,142.8,124.4,106.0,88.2,69.7,51.4,33.9,16.9,18.4,18.4,18.4,17.8,18.5,18.3,17.5,17.0,16.9,2023104752,2026.9.5,栗東,ミスチヴィアスアレックス,バーニングハート,奥雅哉,山岡牧場,,
栗東,C,右,20260905,土,4:41,メイショウピュルテ,,牝,3,0,笹田和秀,,,,,,,77.8,56.6,36.0,17.4,,,,,,21.2,20.6,18.6,17.4,2023104818,2026.9.5,栗東,ミスチヴィアスアレックス,パミーナ,松本好隆,中脇一幸,,
栗東,C,右,20260905,土,4:41,メネルブ,,牝,2,未出走,中尾秀正,,171.4,150.7,129.8,109.9,91.7,73.1,53.2,33.7,16.3,20.7,20.9,19.9,18.2,18.6,19.9,19.5,17.4,16.3,2024104429,2026.9.5,栗東,マジェスティックウォリアー,ベーリングメファ,手嶋康雄,佐竹牧場,,
栗東,C,右,20260905,土,4:41,ロイスター,,牝,3,900,笹田和秀,,,,,,,75.6,55.2,34.3,16.5,,,,,,20.4,20.9,17.8,16.5,2023104413,2026.9.5,栗東,キズナ,マドルガーダ,ノースヒルズ,ノースヒルズ,,
栗東,C,右,20260905,土,4:42,ディアドコス,,牡,6,1500,羽月友彦,,172.8,148.9,125.9,105.3,86.1,68.8,50.8,32.8,15.9,23.9,23.0,20.6,19.2,17.3,18.0,18.0,16.9,15.9,2020105409,2026.9.5,栗東,ネロ,チェインブラッド,岡田牧雄,津田牧場,,
