場所,コース,回り,年月日,曜日,時刻,馬名,Ｃ,性別,年齢,収得賞金,調教師,10F,9F,8F,7F,6F,5F,4F,3F,2F,1F,Lap9,Lap8,Lap7,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1,血統登録番号,日付S,所属,種牡馬名,母名,現馬主名,生産者名,関連データ,馬番/仮番(出馬表モード時のみ)
栗東,C,右,20260820,木,4:58,パシフィックドーン,,牡,3,未出走,池添学,,142.0,121.2,101.0,83.3,67.9,52.8,37.5,23.0,11.3,20.8,20.2,17.7,15.4,15.1,15.3,14.5,11.7,11.3,2023107212,2026.8.20,栗東,ハービンジャー,プルメリアスター,キャロットファーム,ノーザンファーム,,
栗東,C,右,20260820,木,4:58,モモンウールー,,牝,5,1500,池添学,,142.9,122.1,102.0,84.3,68.5,53.5,37.9,23.1,11.3,20.8,20.1,17.7,15.8,15.0,15.6,14.8,11.8,11.3,2021105984,2026.8.20,栗東,ドレフォン,ユアスイスイ,MOMOレーシング,レイクヴィラファーム,,
栗東,C,右,20260820,木,4:59,アクシュラ,,牝,3,0,橋口慎介,,,,,,,52.1,37.6,23.9,11.8,,,,,,14.5,13.7,12.1,11.8,2023104416,2026.8.20,栗東,ドレフォン,ユメノトビラ,ノースヒルズ,ノースヒルズ,,
栗東,C,右,20260820,木,4:59,エイズルブルーム,,牝,3,400,坂口智康,,150.2,127.5,105.0,85.0,68.8,53.1,37.5,23.2,11.2,22.7,22.5,20.0,16.2,15.7,15.6,14.3,12.0,11.2,2023102996,2026.8.20,栗東,リオンディーズ,ペイシャフェリシタ,北所直人,友田牧場,,
栗東,C,右,20260820,木,4:59,キーチパルフェ,,牡,5,1500,高柳大輔,,138.5,119.2,100.2,83.4,68.1,52.9,37.9,23.8,11.5,19.3,19.0,16.8,15.3,15.2,15.0,14.1,12.3,11.5,2021103727,2026.8.20,栗東,ドゥラメンテ,スプリングサンダー,山本益臣,グランド牧場,,
栗東,C,右,20260820,木,4:59,サトノシャッツ,,牡,3,未出走,池江泰寿,,145.2,124.5,105.5,86.9,69.0,52.5,37.2,23.3,11.3,20.7,19.0,18.6,17.9,16.5,15.3,13.9,12.0,11.3,2023105276,2026.8.20,栗東,サトノダイヤモンド,オールドタイムワルツ,里見治,ノーザンファーム,,
栗東,C,右,20260820,木,4:59,ジャイアンバローズ,,牡,3,900,池江泰寿,,146.5,126.0,106.6,87.6,69.5,53.0,37.5,23.5,11.5,20.5,19.4,19.0,18.1,16.5,15.5,14.0,12.0,11.5,2023100922,2026.8.20,栗東,クリソベリル,サトノアイビス,猪熊広次,下河辺牧場,,
栗東,C,右,20260820,木,4:59,ジョウゲンノツキ,,牝,5,900,牧田和弥,,140.8,121.2,101.8,82.9,67.5,52.9,38.1,24.4,12.5,19.6,19.4,18.9,15.4,14.6,14.8,13.7,11.9,12.5,2021102755,2026.8.20,栗東,イスラボニータ,ピサノグレース,二口雅一,金成吉田牧場,,
栗東,C,右,20260820,木,4:59,ダノンシーマ,,牡,4,3800,中内田充,,144.5,123.5,103.0,84.1,67.6,51.8,36.2,22.3,11.1,21.0,20.5,18.9,16.5,15.8,15.6,13.9,11.2,11.1,2022104645,2026.8.20,栗東,キタサンブラック,インクルードベティ,ダノックス,ノーザンファーム,,
栗東,C,右,20260820,木,4:59,ディープナイト,,牡,2,0,牧田和弥,,141.0,119.9,100.2,83.0,67.9,53.3,38.5,24.6,12.2,21.1,19.7,17.2,15.1,14.6,14.8,13.9,12.4,12.2,2024100601,2026.8.20,栗東,シュヴァルグラン,ファーマフローラ,中西功,高山牧場,,
栗東,C,右,20260820,木,4:59,トレビスドンナ,,牝,2,未出走,池江泰寿,,145.6,124.9,105.7,87.0,69.1,52.5,37.1,23.3,11.4,20.7,19.2,18.7,17.9,16.6,15.4,13.8,11.9,11.4,2024106447,2026.8.20,栗東,モーリス,ダブルアンコール,DMMドリームクラブ,ノーザンファーム,,
栗東,C,右,20260820,木,4:59,ハッピーチャンス,,牝,3,0,牧田和弥,,141.7,120.5,100.8,83.4,68.1,53.5,38.6,24.8,12.3,21.2,19.7,17.4,15.3,14.6,14.9,13.8,12.5,12.3,2023100057,2026.8.20,栗東,コパノリッキー,ハッピーエム,三宅勝俊,沖田博志,,
