date,venue,race,N,o1,donguri,d5,fav_out3,atama_are,aite_are,D_PRE_RACE
20250802,01,1,8,1.2,4.75,31.333333333333336,0,0,0,
20250802,01,2,12,2.3,2.5217391304347827,5.304347826086957,0,0,0,
20250802,01,3,14,2.7,2.0,3.9629629629629624,0,0,0,0.93006993006993
20250802,01,4,16,2.4,2.791666666666667,6.958333333333333,0,0,0,0.7711403083390077
20250802,01,5,11,2.6,3.0,4.038461538461538,0,1,0,0.6069788620686755
20250802,01,7,10,1.8,4.444444444444445,4.833333333333333,0,0,0,0.4739456948015135
20250802,01,8,11,1.6,5.0,10.9375,0,0,0,0.7718146208752291
20250802,01,9,10,2.5,1.9600000000000002,3.7600000000000002,1,0,0,0.5499890450787558
20250802,01,10,14,2.4,2.75,5.5,0,0,0,0.4950394243193227
20250802,01,11,16,3.1,3.129032258064516,3.3225806451612905,1,1,0,0.4433100927095059
20250802,01,12,14,2.9,1.9310344827586206,3.172413793103448,1,0,0,0.7202496162919705
20250802,04,2,15,3.3,1.7272727272727275,2.5151515151515156,0,0,0,
20250802,04,3,12,2.3,4.0,5.0,1,0,0,
20250802,04,4,12,2.6,1.769230769230769,4.923076923076923,1,0,0,
20250802,04,5,15,2.8,1.5357142857142858,5.2857142857142865,0,1,0,0.1579915196084254
20250802,04,6,14,2.6,2.1923076923076925,2.923076923076923,0,0,0,0.4664573052085449
20250802,04,7,14,1.8,3.6666666666666665,6.833333333333334,1,1,0,0.512966606984679
20250802,04,8,12,3.3,1.303030303030303,2.2121212121212124,0,0,0,0.4386952988897044
20250802,04,10,13,2.0,3.05,5.75,0,0,0,0.3024707637988296
20250802,04,11,17,2.7,1.9259259259259258,3.074074074074074,0,0,0,0.3887938112437989
20250802,04,12,12,1.9,2.7894736842105265,8.578947368421053,1,0,0,0.4065704045089508
20250802,07,3,16,1.6,5.5,11.0,0,1,0,
20250802,07,4,14,3.0,1.2,4.066666666666666,0,0,0,0.3454620604658317
20250802,07,5,16,2.0,2.5,8.35,0,0,0,0.4583658150550234
20250802,07,6,12,1.8,5.0,5.166666666666667,1,0,0,0.4609188025771699
20250802,07,7,12,2.7,2.148148148148148,3.7777777777777772,1,0,0,0.2443988244814301
