日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,騎手,基準オッズ,人気,ラップ適性,ラップキャラ,SAV,信頼度,妙味度,展開順位,ST指数,仕上指数,合計値,合計値順位,出遅率,先行力,追走力,持久力,持続力,瞬発力,前3F順位,前3F差,前3F内外,勝負所順位,勝負所差,勝負所内外,G前順位,G前差,G前内外,斤量,騎手タイプ,騎手指数,騎手コメント,当該コース騎手総数,当該コース騎手勝率,当該コース騎手連対率,当該コース騎手複勝率,厩舎,最近放牧先,何走目,厩舎外厩総数,厩舎外厩勝率,厩舎外厩連対率,厩舎外厩複勝率,馬外厩総数,馬外厩勝率,馬外厩連対率,馬外厩複勝率,性,齢,前肢,後肢,蹄,重適性,特記1,特記2,特記3,父馬名,血統総数,血統勝率,血統連対率,血統複勝率,1週前追切,最終追切,調教指数,調教パターン,source_url,source_status
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,1,ゴールドバーニング,石神深道,25.9,8,,,54,Ｄ,Ｄ,7,19,29,-20,9,,53 (8),46 (8),38 (11),42 (12),51 (7),9,6,最内,8,10,最内,7,14,内,53,,45,直近◎,59,3%,8%,19%,柄崎将寿,オークヒルファーム,1,2,0 %,0 %,0 %,,,,,牝,2,,,,,,,,ゴールドアクター,10,30%,30%,40%,50(南Ｗ),44(美坂),29,併用平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260830&racekey=04263402&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,2,ゴルトシェーン,今村聖奈,19.3,6,,,51,Ｄ,Ｄ,8,20,33,-15,6,,55 (6),50 (6),43 (9),47 (9),53 (5),6,4,最内,4,7,最内,8,15,最内,53,[先][追][瞬],52,コース○,84,11%,17%,24%,武井亮,エスティＦ小見川,1,67,6 %,10 %,13 %,,,,,牡,2,,,,,,,,ゴールドドリーム,20,10%,20%,25%,54(南Ｗ),57(南Ｗ),33,併用平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260830&racekey=04263402&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,3,ウラノグラフィア,岩田望来,2.8,2,,,85,Ｂ,Ｃ,2,39,35,6,2,,62 (1),67 (1),60 (2),68 (1),66 (1),2,1,内,2,1,内,2,4,内,55,[続][瞬],52,直近×,24,13%,17%,29%,宮田敬介,ノーザンＦ天栄,1,569,14 %,25 %,36 %,,,,,牡,2,,,,,,,,ナダル,37,16%,30%,43%,56(南Ｗ),59(南Ｗ),35,コース終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260830&racekey=04263402&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,4,マイトレーヤー,津村明秀,16.2,5,,,62,Ｃ,Ｓ,5,20,33,-15,7,,53 (7),46 (7),38 (12),42 (11),51 (8),8,5,中,7,9,中,5,11,外,55,[続][瞬],66,"コース○,直近◎",89,10%,17%,34%,手塚貴徳,山元トレセン,1,1,0 %,0 %,0 %,,,,,牡,2,,,,,,,,マインドユアビスケッツ,62,10%,18%,23%,50(南Ｗ),50(南Ｗ),33,併用平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260830&racekey=04263402&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,5,ミシェルバローズ,三浦皇成,4.9,3,,,99,ＡＡ,Ｓ,1,35,38,5,3,,59 (3),65 (3),62 (1),64 (3),58 (3),3,2,最内,3,2,最内,1,0,中,55,[続][瞬],55,"コース○,直近▲",78,14%,24%,29%,中内田充正,ノーザンＦしがらき,1,328,18 %,30 %,41 %,,,,,牝,2,,,,,,,,ナダル,37,16%,30%,43%,65(ＣＷ),59(栗坂),38,坂路平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260830&racekey=04263402&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,6,ニシノマキロイ,野中悠太郎,20.4,7,,,42,Ｄ,Ｄ,10,16,33,-19,8,,52 (9),44 (9),36 (13),37 (13),46 (9),7,5,内,9,10,内,10,17,中,55,[先][続][瞬],38,馬主○,64,5%,9%,16%,田中勝春,西山牧場阿見分場,1,,,,,,,,,牡,2,,,,,,,,ニューイヤーズデイ,43,5%,9%,19%,49(南Ｗ),8(美坂),33,併用平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260830&racekey=04263402&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,7,ピーエムリンダ,武藤雅,29.1,9,,,38,Ｄ,Ｄ,13,13,33,-22,11,,36 (11),41 (12),57 (7),47 (4),38 (12),10,12,最内,10,15,最内,13,19,最内,55,[久][続][瞬],39,コース○,111,6%,14%,20%,和田正一郎,ノーザンＦ天栄,1,152,5 %,14 %,24 %,,,,,牝,2,,,,,,,,クリソベリル,20,30%,45%,55%,75(南Ｗ),47(南Ｗ),33,併用終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260830&racekey=04263402&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,8,ウィザードシチー,亀田温心,30.1,10,,,40,Ｄ,Ｄ,11,13,30,-25,13,,36 (12),41 (13),57 (4),47 (8),38 (13),13,14,最内,13,16,内,11,18,内,55,[先][追][瞬],50,コース○,67,9%,18%,21%,北出成人,ワコーＦアカデミー,1,214,5 %,9 %,12 %,,,,,牡,2,,,,,,,,チュウワウィザード,1,0%,0%,0%,57(栗坂),59(栗坂),30,併用平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260830&racekey=04263402&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,9,レッドマウロア,川田将雅,2.7,1,,,72,Ｄ,Ａ,3,41,36,9,1,,62 (2),67 (2),60 (3),68 (2),66 (2),1,0,最内,1,0,最内,3,8,最内,55,[先][追],68,"馬主○,直近×",21,29%,38%,57%,加藤征弘,エスティＦ小見川,1,52,13 %,19 %,25 %,,,,,牡,2,,,,,,,,クリソベリル,20,30%,45%,55%,50(南Ｗ),41(南Ｗ),36,併用終い重点,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260830&racekey=04263402&jo=0&idpm=iFT66JycF8pFY,PASS
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,10,スタレネルヴェント,原優介,51.5,13,,,39,Ｄ,Ｄ,12,13,33,-22,10,,36 (13),41 (11),57 (6),47 (6),38 (11),11,13,内,11,15,中,12,18,外,55,[追][久][続],42,"コース○,直近○",141,4%,9%,13%,高木登,山元トレセン,1,63,6 %,17 %,29 %,,,,,牝,2,,,,,,,,リアルスティール,65,12%,17%,25%,46(南Ｗ),55(南Ｗ),33,坂路平均,https://stride.get-luck.jp/member/race_viewer_test.php?racedate=20260830&racekey=04263402&jo=0&idpm=iFT66JycF8pFY,PASS
