日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,IDM,IDM印,脚質,騎手名,斤量,調教師,所属,基準単勝,基準複勝,source_url,source_status
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,2,チェスティーノ,44,◎,,ルメー,55,鹿戸雄,美,2.5,1.3,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,3,ガヤーズサムライ,24,▽,,田辺裕,55,田中勝,美,15.9,3.5,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,4,キャッチアップ,22,,,菊沢一,55,小野次,美,42.2,8,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,5,オオルリ,20,,,原優介,55,水野貴,美,46.6,8.8,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,6,ペントザリス,37,▲,,岩田康,55,戸田博,美,4.8,1.6,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,7,マイネルウルカヌス,20,,,柴田大,55,畠山吉,美,16.1,3.5,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,8,ダディーズレガリア,36,注,,岩田望,55,畑端省,栗,4.9,1.6,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,9,テキサス,43,○,,津村明,55,田中博,美,5.3,1.7,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,10,リアスハート,35,△,,武藤雅,55,水野貴,美,7.9,2.2,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,11,ライヴテキーラ,20,,,杉原誠,55,牧光二,美,41.9,7.9,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,1,セリエンクーニゲン,40,△,先,川田将[替],55,田中博,美,3.8,1.5,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,2,チョコブラウニー,13,,追,原優介[替],55,天間昭,美,186,34.6,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,3,ゴッドレイ,39,▽,差,石田拓,53△,伊藤大,美,14.6,3.4,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
