日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,馬トク指数,IDM,激走指数,激印,激走要因1,激走要因2,激走要因3,基準単オッズ,基準人気,馬体重,増減,波乱度,1番人気信頼度,1番人気妙味度,source_url,source_status
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,3,ガヤーズサムライ,46,23.6,44.27,0,,,,15.9,6,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263404/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,4,キャッチアップ,44,21.5,42.45,0,,,,42.2,10,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263404/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,5,オオルリ,43,20,39.71,0,,,,46.6,11,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263404/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,6,ペントザリス,53.3,37.2,50.55,0,,,,4.8,2,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263404/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,7,マイネルウルカヌス,43,20,40.2,0,,,,16.1,7,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263404/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,8,ダディーズレガリア,53.3,36.4,50.59,0,,,,4.9,3,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263404/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,9,テキサス,56.3,43.2,55.29,2,,,,5.3,4,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263404/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,10,リアスハート,53.2,35.2,51.44,3,,,,7.9,5,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263404/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,11,ライヴテキーラ,42,20,42.93,0,,,,41.9,9,,,C,AA,S,https://umatoku.hochi.co.jp/data/race/04263404/previous,PASS_EMBEDDED_JSON
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,1,セリエンクーニゲン,59.4,40,56.03,0,,,,3.8,2,,,S,D,A,https://umatoku.hochi.co.jp/data/race/04263405/previous,PASS_EMBEDDED_JSON
