日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,コンピ順位,コンピ指数,コンピ元表示,source_url,source_status
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,7,マイネルウルカヌス,8,49,"7
49",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,8,ダディーズレガリア,3,63,"8
63",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,9,テキサス,2,73,"9
73",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,10,リアスハート,5,56,"10
56",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,11,ライヴテキーラ,10,46,"11
46",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,1,セリエンクーニゲン,4,65,"1
65",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,2,チョコブラウニー,14,44,"2
44",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,3,ゴッドレイ,5,57,"3
57",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,4,ステキサプライズ,12,47,"4
47",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,5,エナノムスメ,17,41,"5
41",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,6,ラウンドヒル,9,50,"6
50",https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040830000,PASS
