日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,枠,印,性齢,斤量,騎手,最高指数,5走平均,距離指数,コース指数,3走,2走,前走,単勝オッズ,人気,source_url,source_status
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,1,ゴールドバーニング,,,,53△,石神道,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,2,ゴルトシェーン,,,,53◇,今村聖,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,3,ウラノグラフィア,,,,55,岩田望,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,4,マイトレーヤー,,,,55,津村明,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,5,ミシェルバローズ,,,,55,三浦皇,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,6,ニシノマキロイ,,,,55,野中悠,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,7,ピーエムリンダ,,,,55,武藤雅,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,8,ウィザードシチー,,,,55,亀田温,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,9,レッドマウロア,,,,55,川田将,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,10,スタレネルヴェント,,,,55,原優介,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,11,ギガントシュラーク,,,,55,丸山元,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,12,エコロゲラン,,,,55,菊沢一,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,2,202604030402,04263402,10:15,2R ダ1800 ２歳新馬 10:15,13,タイセイリッター,,,,53△,石田拓,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030402,HOLD_SOURCE_NOT_PUBLISHED
2026-08-30,新潟,3,202604030403,04263403,10:45,3R 芝2000 ２歳未勝利 10:45,1,ケイジャーダ,1,--,牝2,55,柴田大知,58,58*,未,58,-,-,58,8.5,6,https://race.netkeiba.com/race/speed.html?race_id=202604030403,PASS
