日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,基準単勝,基準複勝,オッズ種別,source_url,source_status
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,2,チェスティーノ,2.5,1.3,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,3,ガヤーズサムライ,15.9,3.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,4,キャッチアップ,42.2,8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,5,オオルリ,46.6,8.8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,6,ペントザリス,4.8,1.6,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,7,マイネルウルカヌス,16.1,3.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,8,ダディーズレガリア,4.9,1.6,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,9,テキサス,5.3,1.7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,10,リアスハート,7.9,2.2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,4,202604030404,04263404,11:15,4R 芝1800 ２歳新馬(無料開放レース) 11:15,11,ライヴテキーラ,41.9,7.9,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263404.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,1,セリエンクーニゲン,3.8,1.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,2,チョコブラウニー,186,34.6,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,3,ゴッドレイ,14.6,3.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,4,ステキサプライズ,66.7,12.8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,5,エナノムスメ,60.2,11.7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,6,ラウンドヒル,19.9,4.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,7,エフティヴェント,107,20.1,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-30,新潟,5,202604030405,04263405,11:45,5R 芝1400 ３歳未勝利 11:45,8,カラーオブサクセス,33.6,7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260830_04263405.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
