日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,馬トク指数,IDM,激走指数,激印,激走要因1,激走要因2,激走要因3,基準単オッズ,基準人気,馬体重,増減,波乱度,1番人気信頼度,1番人気妙味度,source_url,source_status
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,1,ロマンス,41,26,45.51,0,,,,29,9,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,2,オーパパ,41,28,46.27,0,,,,69.4,12,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,3,ネイティヴプライド,50,35.1,51.85,4,,,,14,6,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,4,ダイヒョウカーク,38,25,46.19,0,,,,46.6,10,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,5,プリヴィマーク,48,21.8,40.99,0,,,,49,11,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,6,ガードオブオナー,63.3,40.9,56.73,0,,,,4.8,2,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,7,ゴールドプレイヤー,64.4,41.1,53.61,0,,,,3,1,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,8,エターナルホープ,54.3,35,51.57,0,,,,6.3,4,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,9,オウケンサクラコ,55,39,51.56,0,,,,21.6,8,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,10,マーゴットライズ,55.1,37,52.26,3,,,,14.6,7,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,11,アデルフィー,62.3,41,53.97,0,,,,5,3,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,12,ヌビアン,44,30,49.84,0,,,,117.1,15,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,13,バターショコラ,44,31,46.01,0,,,,70.8,13,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,14,ハチマン,31,20,40.96,0,,,,89.4,14,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,15,カシマライフウ,60.2,40,53.38,2,,,,6.4,5,,,B,B,AA,https://umatoku.hochi.co.jp/data/race/04263302/previous,PASS_EMBEDDED_JSON
