日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,IDM,IDM印,脚質,騎手名,斤量,調教師,所属,基準単勝,基準複勝,source_url,source_status
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,1,ロマンス,26,,逃,石橋脩,55,上原佑,美,29,6.2,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,2,オーパパ,28,,差,佐藤翔[替],54▲,斎藤誠,美,69.4,13.5,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,3,ネイティヴプライド,35,,差,松山弘[替],57,高木登,美,14,3.4,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,4,ダイヒョウカーク,25,,差,杉原誠,57,松山将,美,46.6,9.5,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,5,プリヴィマーク,22,,追,武藤雅,57,池上和,美,49,10,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,6,ガードオブオナー,41,▲,先,津村明[替],57,林　徹,美,4.8,1.7,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,7,ゴールドプレイヤー,41,◎,差,戸崎圭,57,古賀慎,美,3,1.4,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,8,エターナルホープ,35,,追,原優介[替],57,鈴木慎,美,6.3,2,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,9,オウケンサクラコ,39,△,追,丸田恭,55,田中勝,美,21.6,4.8,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,10,マーゴットライズ,37,▽,差,菊沢一[替],57,伊坂重,美,14.6,3.5,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,11,アデルフィー,41,○,先,三浦皇,57,金成貴,美,5,1.8,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,12,ヌビアン,30,,差,石田拓[替],55△,清水英,美,117,22.4,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,13,バターショコラ,31,,追,小崎綾[替],55,戸田博,美,70.8,13.8,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,14,ハチマン,20,,差,水沼元[替],54▲,柄崎将,美,89.4,17.2,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,15,カシマライフウ,40,注,差,大野拓[替],57,伊藤伸,美,6.4,2.1,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,1,マムダッドベル,25,,追,谷原柚[替],51★,粕谷昌,美,44.6,8.4,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,2,ノルトハウゼン,37,◎,追,三浦皇[替],55,菊沢隆,美,5,1.7,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,3,ルクスマグナ,23,,先,岩田康[替],55,高柳瑞,美,15.4,3.4,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,4,ビスクヴィート,18,,差,内田博[替],55,中舘英,美,28.8,5.7,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,5,アルアンダルス,33,○,追,石橋脩,55,小野次,美,28.1,5.6,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,6,ホウオウビリーヴ,28,▽,差,戸崎圭,55,木村哲,美,6.7,2,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,7,レーゲンシャウアー,15,,差,柴田大[替],55,天間昭,美,26.4,5.2,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,8,アウアリイ,29,注,逃,菊沢一,55,奥村武,美,3.6,1.4,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
