日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,基準単勝,基準複勝,オッズ種別,source_url,source_status
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,1,ロマンス,29,6.2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,2,オーパパ,69.4,13.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,3,ネイティヴプライド,14,3.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,4,ダイヒョウカーク,46.6,9.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,5,プリヴィマーク,49,10,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,6,ガードオブオナー,4.8,1.7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,7,ゴールドプレイヤー,3,1.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,8,エターナルホープ,6.3,2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,9,オウケンサクラコ,21.6,4.8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,10,マーゴットライズ,14.6,3.5,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,11,アデルフィー,5,1.8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,12,ヌビアン,117,22.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,13,バターショコラ,70.8,13.8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,14,ハチマン,89.4,17.2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,15,カシマライフウ,6.4,2.1,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263302.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,1,マムダッドベル,44.6,8.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,2,ノルトハウゼン,5,1.7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,3,ルクスマグナ,15.4,3.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,4,ビスクヴィート,28.8,5.7,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,5,アルアンダルス,28.1,5.6,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,6,ホウオウビリーヴ,6.7,2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,7,レーゲンシャウアー,26.4,5.2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,8,アウアリイ,3.6,1.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,9,パープルタウン,14,3.1,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,10,サウンドシェリー,3,1.4,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,11,キムケンシーサー,7.1,2.1,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263303.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,1,ポケットブック,78.9,13,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263304.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,2,ジェイエルキール,32.9,5.9,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263304.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,3,クラウンロムパイア,99.2,16.2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263304.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,4,エクラドリオン,2.1,1.2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263304.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,5,ショウナンバッカス,19.8,3.9,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263304.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,6,ヨツバ,110,17.8,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263304.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,7,タワーウマザンマイ,40.6,7.2,JRDB基準オッズ（確定オッズではない）,https://jrdb.com/member/n_live_20260829_04263304.html,PASS_UI_RACE_SELECTOR_BASE_ODDS
