日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,コンピ順位,コンピ指数,コンピ元表示,source_url,source_status
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,1,ロマンス,11,46,2R ３歳未勝利 ダ1800m,https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040829000,PASS_LOGGED_IN_DOM
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,2,オーパパ,9,48,2R ３歳未勝利 ダ1800m,https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040829000,PASS_LOGGED_IN_DOM
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,3,ネイティヴプライド,6,54,2R ３歳未勝利 ダ1800m,https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040829000,PASS_LOGGED_IN_DOM
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,4,ダイヒョウカーク,10,47,2R ３歳未勝利 ダ1800m,https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040829000,PASS_LOGGED_IN_DOM
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,5,プリヴィマーク,14,41,2R ３歳未勝利 ダ1800m,https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040829000,PASS_LOGGED_IN_DOM
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,6,ガードオブオナー,4,64,2R ３歳未勝利 ダ1800m,https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040829000,PASS_LOGGED_IN_DOM
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,7,ゴールドプレイヤー,1,70,2R ３歳未勝利 ダ1800m,https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040829000,PASS_LOGGED_IN_DOM
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,8,エターナルホープ,5,63,2R ３歳未勝利 ダ1800m,https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040829000,PASS_LOGGED_IN_DOM
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,9,オウケンサクラコ,8,52,2R ３歳未勝利 ダ1800m,https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040829000,PASS_LOGGED_IN_DOM
2026-08-29,新潟,2,202604030302,04263302,10:15,2R ダ1800 ３歳未勝利 10:15,10,マーゴットライズ,7,53,2R ３歳未勝利 ダ1800m,https://goku-uma.nikkansports.com/chuo/compi_detail_v1.php?kaicode=12026040829000,PASS_LOGGED_IN_DOM
