日付,開催場,R,race_id,racekey,発走,番組表示,馬番,馬名,枠,印,性齢,斤量,騎手,最高指数,5走平均,距離指数,コース指数,3走,2走,前走,単勝オッズ,人気,source_url,source_status
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,10,サウンドシェリー,8,--,牝2,55,松山弘平,62,62*,62,未,-,-,62,3.2,1,https://race.netkeiba.com/race/speed.html?race_id=202604030303,PASS
2026-08-29,新潟,3,202604030303,04263303,10:45,3R 芝1600 ２歳未勝利 10:45,11,キムケンシーサー,8,--,牡2,53,◇今村聖奈,76,68*,未,未,-,59,76,15.7,6,https://race.netkeiba.com/race/speed.html?race_id=202604030303,PASS
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,1,ポケットブック,,,,55,小崎綾,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,2,ジェイエルキール,,,,55,江田照,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,3,クラウンロムパイア,,,,55,木幡育,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,4,エクラドリオン,,,,55,ルメー,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,5,ショウナンバッカス,,,,55,岩田康,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,6,ヨツバ,,,,55,杉原誠,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,7,タワーウマザンマイ,,,,55,原優介,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,8,チョトツモウシン,,,,55,菅原隆,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,9,ニシノムホウモノ,,,,55,ミシェ,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,10,レッドアバンドーネ,,,,55,津村明,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,11,アヴァンデセール,,,,52▲,佐藤翔,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,12,セレスティナ,,,,53◇,今村聖,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,13,イントリー,,,,55,武藤雅,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
2026-08-29,新潟,4,202604030304,04263304,11:15,4R 芝1400 ２歳新馬 11:15,14,イデアモッコス,,,,55,野中悠,,,,,,,,,,https://race.netkeiba.com/race/speed.html?race_id=202604030304,HOLD_SOURCE_NOT_PUBLISHED
